STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1974447,46.36%,-0.05%
VIC,425272,9.99%,-0.06%
QLD,615561,14.45%,-0.03%
SA,632297,14.85%,0.29%
WA,440241,10.34%,-0.05%
TAS,139483,3.28%,-0.04%
NT,7097,0.17%,-0.35%
ACT,24315,0.57%,-0.16%
TOTAL,4258713,100.00%,0.00%
