STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,1024,149986,225890,227688,192805,215995,1013388,35.30%
VIC,1403,31015,42607,39183,32315,33459,179982,8.10%
QLD,1142,90815,89563,64482,40363,34341,320706,18.00%
SA,29517,65861,63950,60539,52105,57117,329089,49.90%
WA,631,18417,51493,54398,45440,50395,220774,22.60%
TAS,172,5078,15537,16765,15358,18040,70950,35.00%
NT,37,341,823,961,635,379,3176,3.40%
ACT,181,1290,2574,2459,1920,1781,10205,6.80%
TOTAL,34107,362803,492437,466475,380941,411507,2148270,24.00%
