STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,366011,21.79%,0.57%
VIC,418490,24.92%,0.72%
QLD,337810,20.12%,0.39%
SA,184920,11.01%,0.73%
WA,268791,16.01%,0.25%
TAS,52704,3.14%,0.44%
NT,13231,0.79%,0.23%
ACT,37383,2.23%,0.71%
TOTAL,1679340,100.00%,0.53%
