table,table_title,sub_sector,category,item,parent_item,year,number,proportion_pct
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Aboriginal and/or Torres Strait Islander,,2022-23,2737,16.2
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Aboriginal and/or Torres Strait Islander,,2023-24,3070,16.7
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Aboriginal and/or Torres Strait Islander,,2024-25,3815,19.3
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Non-Indigenous,,2022-23,12520,74.1
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Non-Indigenous,,2023-24,13384,72.6
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Non-Indigenous,,2024-25,13849,70
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Unknown,,2022-23,1634,9.7
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Unknown,,2023-24,1986,10.8
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Unknown,,2024-25,2122,10.7
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Gender,Male,,2022-23,5467,32.4
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Gender,Male,,2023-24,6338,34.4
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Gender,Male,,2024-25,6503,32.9
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Gender,Female,,2022-23,10938,64.7
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Gender,Female,,2023-24,11669,63.3
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Gender,Female,,2024-25,12616,63.8
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),0 to 17 years,,2022-23,588,3.5
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),0 to 17 years,,2023-24,529,2.9
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),0 to 17 years,,2024-25,550,2.8
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),18 to 24 years,,2022-23,1166,6.9
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),18 to 24 years,,2023-24,1405,7.6
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),18 to 24 years,,2024-25,1611,8.1
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),25 to 34 years,,2022-23,3586,21.2
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),25 to 34 years,,2023-24,3838,20.8
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),25 to 34 years,,2024-25,4291,21.7
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),35 to 49 years,,2022-23,5636,33.4
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),35 to 49 years,,2023-24,6303,34.2
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),35 to 49 years,,2024-25,6786,34.3
26,"Clients who received legal task services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),50 to 64 years,,2022-23,3385,20
