table,table_title,sub_sector,category,item,parent_item,year,number,proportion_pct
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Aboriginal and/or Torres Strait Islander,,2022-23,12315,23.7
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Aboriginal and/or Torres Strait Islander,,2023-24,14057,25.9
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Aboriginal and/or Torres Strait Islander,,2024-25,16130,28.1
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Non-Indigenous,,2022-23,37675,72.5
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Non-Indigenous,,2023-24,37725,69.5
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Non-Indigenous,,2024-25,38435,66.9
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Unknown,,2022-23,1991,3.8
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Unknown,,2023-24,2524,4.6
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Unknown,,2024-25,2850,5
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Gender,Male,,2022-23,25190,48.5
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Gender,Male,,2023-24,25972,47.8
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Gender,Male,,2024-25,26785,46.7
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Gender,Female,,2022-23,25739,49.5
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Gender,Female,,2023-24,27478,50.6
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Gender,Female,,2024-25,29416,51.2
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),0 to 17 years,,2022-23,5184,10
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),0 to 17 years,,2023-24,4885,9
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),0 to 17 years,,2024-25,5013,8.7
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),18 to 24 years,,2022-23,4548,8.7
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),18 to 24 years,,2023-24,4861,9
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),18 to 24 years,,2024-25,5608,9.8
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),25 to 34 years,,2022-23,11692,22.5
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),25 to 34 years,,2023-24,12249,22.6
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),25 to 34 years,,2024-25,13697,23.9
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),35 to 49 years,,2022-23,16268,31.3
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),35 to 49 years,,2023-24,17673,32.5
4,"Clients who received legal task services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),35 to 49 years,,2024-25,19326,33.7
