table,table_title,sub_sector,category,item,parent_item,year,number,proportion_pct
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Aboriginal and/or Torres Strait Islander,,2022-23,1245,12.5
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Aboriginal and/or Torres Strait Islander,,2023-24,1411,13.8
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Aboriginal and/or Torres Strait Islander,,2024-25,1389,14.3
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Non-Indigenous,,2022-23,7557,75.8
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Non-Indigenous,,2023-24,7939,77.7
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Non-Indigenous,,2024-25,7200,74.2
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Unknown,,2022-23,1161,11.7
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Unknown,,2023-24,867,8.5
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Unknown,,2024-25,1120,11.5
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Gender,Male,,2022-23,3350,33.6
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Gender,Male,,2023-24,3500,34.3
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Gender,Male,,2024-25,3244,33.4
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Gender,Female,,2022-23,6359,63.8
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Gender,Female,,2023-24,6517,63.8
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Gender,Female,,2024-25,6098,62.8
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),0 to 17 years,,2022-23,508,5.1
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),0 to 17 years,,2023-24,425,4.2
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),0 to 17 years,,2024-25,433,4.5
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),18 to 24 years,,2022-23,978,9.8
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),18 to 24 years,,2023-24,886,8.7
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),18 to 24 years,,2024-25,1022,10.5
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),25 to 34 years,,2022-23,1985,19.9
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),25 to 34 years,,2023-24,2047,20
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),25 to 34 years,,2024-25,1992,20.5
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),35 to 49 years,,2022-23,3090,31
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),35 to 49 years,,2023-24,3273,32
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),35 to 49 years,,2024-25,3078,31.7
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),50 to 64 years,,2022-23,1761,17.7
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),50 to 64 years,,2023-24,1911,18.7
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),50 to 64 years,,2024-25,1780,18.3
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),65 years and over,,2022-23,1379,13.8
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),65 years and over,,2023-24,1432,14
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),65 years and over,,2024-25,1228,12.7
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),Unknown,,2022-23,265,2.7
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),Unknown,,2023-24,234,2.3
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),Unknown,,2024-25,177,1.8
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Number of services completed (per client),1,,2022-23,8518,85.5
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Number of services completed (per client),1,,2023-24,8832,86.5
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Number of services completed (per client),1,,2024-25,8330,85.8
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Number of services completed (per client),2,,2022-23,989,9.9
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Number of services completed (per client),2,,2023-24,968,9.5
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Number of services completed (per client),2,,2024-25,939,9.7
28,"Clients who received representation services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Number of services completed (per client),3,,2022-23,302,3
