table,table_title,sub_sector,category,item,parent_item,year,number,proportion_pct
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Aboriginal and Torres Strait Islander status,Aboriginal and/or Torres Strait Islander,,2022-23,17844,12.4
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Aboriginal and Torres Strait Islander status,Aboriginal and/or Torres Strait Islander,,2023-24,18972,13.1
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Aboriginal and Torres Strait Islander status,Aboriginal and/or Torres Strait Islander,,2024-25,19852,13.1
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Aboriginal and Torres Strait Islander status,Non-Indigenous,,2022-23,122559,85.2
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Aboriginal and Torres Strait Islander status,Non-Indigenous,,2023-24,121077,83.4
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Aboriginal and Torres Strait Islander status,Non-Indigenous,,2024-25,125411,82.9
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Aboriginal and Torres Strait Islander status,Unknown,,2022-23,3528,2.5
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Aboriginal and Torres Strait Islander status,Unknown,,2023-24,5101,3.5
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Aboriginal and Torres Strait Islander status,Unknown,,2024-25,5984,4
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Gender,Male,,2022-23,71713,49.8
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Gender,Male,,2023-24,70761,48.8
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Gender,Male,,2024-25,72010,47.6
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Gender,Female,,2022-23,70792,49.2
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Gender,Female,,2023-24,71077,49
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Gender,Female,,2024-25,74733,49.4
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),0 to 9 years,,2022-23,269,0.2
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),0 to 9 years,,2023-24,233,0.2
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),0 to 9 years,,2024-25,371,0.2
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),10 to 19 years,,2022-23,10364,7.2
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),10 to 19 years,,2023-24,10348,7.1
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),10 to 19 years,,2024-25,10534,7
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),20 to 24 years,,2022-23,11133,7.7
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),20 to 24 years,,2023-24,11078,7.6
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),20 to 24 years,,2024-25,11184,7.4
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),25 to 34 years,,2022-23,36297,25.2
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),25 to 34 years,,2023-24,36148,24.9
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),25 to 34 years,,2024-25,37707,24.9
9,"Clients who received legal advice services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),35 to 44 years,,2022-23,36745,25.5
