table,table_title,sub_sector,category,item,parent_item,year,number,proportion_pct
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Legal advice,,2022-23,135524,67.5
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Legal advice,,2023-24,143274,68.2
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Legal advice,,2024-25,135629,66
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Non-legal support,,2022-23,10258,5.1
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Non-legal support,,2023-24,10863,5.2
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Non-legal support,,2024-25,10476,5.1
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Legal task,,2022-23,27199,13.6
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Legal task,,2023-24,29600,14.1
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Legal task,,2024-25,30887,15
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Ongoing legal support,,2022-23,744,0.4
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Ongoing legal support,,2023-24,571,0.3
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Ongoing legal support,,2024-25,911,0.4
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Facilitated resolution process,,2022-23,176,0.1
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Facilitated resolution process,,2023-24,130,0.1
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Facilitated resolution process,,2024-25,192,0.1
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Duty lawyer,,2022-23,14481,7.2
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Duty lawyer,,2023-24,13355,6.4
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Duty lawyer,,2024-25,15382,7.5
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Representations,,2022-23,12271,6.1
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Representations,,2023-24,12380,5.9
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Representations,,2024-25,11920,5.8
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Dispute resolution,Representations,2022-23,484,0.2
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Dispute resolution,Representations,2023-24,803,0.4
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Dispute resolution,Representations,2024-25,795,0.4
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Court/tribunal,Representations,2022-23,4251,2.1
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Court/tribunal,Representations,2023-24,4467,2.1
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Court/tribunal,Representations,2024-25,4714,2.3
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Other representation,Representations,2022-23,7532,3.8
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Other representation,Representations,2023-24,7109,3.4
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Other representation,Representations,2024-25,6417,3.1
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Total services,,2022-23,200658,100
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Total services,,2023-24,210170,100
29,"Services, Service type, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,,Total services,,2024-25,205395,100
