table,table_title,sub_sector,category,item,parent_item,year,number,proportion_pct
2,"Clients who received legal advice services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Aboriginal and/or Torres Strait Islander,,2022-23,36005,14.4
2,"Clients who received legal advice services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Aboriginal and/or Torres Strait Islander,,2023-24,38890,15
2,"Clients who received legal advice services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Aboriginal and/or Torres Strait Islander,,2024-25,41292,15.9
2,"Clients who received legal advice services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Non-Indigenous,,2022-23,199691,79.7
2,"Clients who received legal advice services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Non-Indigenous,,2023-24,204265,78.7
2,"Clients who received legal advice services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Non-Indigenous,,2024-25,200365,77.2
2,"Clients who received legal advice services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Unknown,,2022-23,14940,6
2,"Clients who received legal advice services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Unknown,,2023-24,16377,6.3
2,"Clients who received legal advice services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Aboriginal and Torres Strait Islander status,Unknown,,2024-25,17981,6.9
2,"Clients who received legal advice services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Gender,Male,,2022-23,107704,43
2,"Clients who received legal advice services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Gender,Male,,2023-24,110972,42.8
2,"Clients who received legal advice services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Gender,Male,,2024-25,110448,42.5
2,"Clients who received legal advice services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Gender,Female,,2022-23,138323,55.2
2,"Clients who received legal advice services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Gender,Female,,2023-24,142253,54.8
2,"Clients who received legal advice services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Gender,Female,,2024-25,140893,54.3
2,"Clients who received legal advice services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),0 to 17 years,,2022-23,9387,3.7
2,"Clients who received legal advice services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),0 to 17 years,,2023-24,9206,3.5
2,"Clients who received legal advice services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),0 to 17 years,,2024-25,9451,3.6
2,"Clients who received legal advice services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),18 to 24 years,,2022-23,21445,8.6
