table,table_title,sub_sector,category,item,parent_item,year,number,proportion_pct
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Gender,Male,,2022-23,1819,32.8
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Gender,Male,,2023-24,2319,34.4
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Gender,Male,,2024-25,2652,34.5
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Gender,Female,,2022-23,3441,62.1
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Gender,Female,,2023-24,4142,61.4
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Gender,Female,,2024-25,4709,61.3
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),0 to 9 years,,2022-23,25,0.5
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),0 to 9 years,,2023-24,45,0.7
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),0 to 9 years,,2024-25,31,0.4
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),10 to 19 years,,2022-23,224,4
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),10 to 19 years,,2023-24,303,4.5
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),10 to 19 years,,2024-25,659,8.6
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),20 to 24 years,,2022-23,421,7.6
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),20 to 24 years,,2023-24,461,6.8
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),20 to 24 years,,2024-25,699,9.1
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),25 to 34 years,,2022-23,1377,24.8
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),25 to 34 years,,2023-24,1708,25.3
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),25 to 34 years,,2024-25,1995,26
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),35 to 44 years,,2022-23,1447,26.1
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),35 to 44 years,,2023-24,1781,26.4
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),35 to 44 years,,2024-25,2131,27.8
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),45 to 54 years,,2022-23,851,15.4
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),45 to 54 years,,2023-24,1026,15.2
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),45 to 54 years,,2024-25,1161,15.1
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),55 to 64 years,,2022-23,368,6.6
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),55 to 64 years,,2023-24,464,6.9
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),55 to 64 years,,2024-25,503,6.6
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),65 years and over,,2022-23,330,6
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),65 years and over,,2023-24,423,6.3
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),65 years and over,,2024-25,476,6.2
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),Unknown,,2022-23,492,8.9
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),Unknown,,2023-24,529,7.8
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),Unknown,,2024-25,17,0.2
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Number of services completed (per client),1,,2022-23,3818,68.9
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Number of services completed (per client),1,,2023-24,4295,63.7
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Number of services completed (per client),1,,2024-25,4659,60.7
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Number of services completed (per client),2,,2022-23,838,15.1
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Number of services completed (per client),2,,2023-24,1098,16.3
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Number of services completed (per client),2,,2024-25,1324,17.2
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Number of services completed (per client),3,,2022-23,325,5.9
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Number of services completed (per client),3,,2023-24,479,7.1
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Number of services completed (per client),3,,2024-25,546,7.1
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Number of services completed (per client),4,,2022-23,190,3.4
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Number of services completed (per client),4,,2023-24,258,3.8
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Number of services completed (per client),4,,2024-25,303,3.9
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Number of services completed (per client),5 or more,,2022-23,373,6.7
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Number of services completed (per client),5 or more,,2023-24,617,9.1
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Number of services completed (per client),5 or more,,2024-25,843,11
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Number of services completed (per client),Total clients,,2022-23,5542,100
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Number of services completed (per client),Total clients,,2023-24,6745,100
10,"Clients who received non-legal support services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Number of services completed (per client),Total clients,,2024-25,7677,100
