table,table_title,sub_sector,category,item,parent_item,year,number,proportion_pct
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Gender,Male,,2022-23,3450,26.9
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Gender,Male,,2023-24,4338,28.2
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Gender,Male,,2024-25,4920,30.2
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Gender,Female,,2022-23,8883,69.3
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Gender,Female,,2023-24,10490,68.2
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Gender,Female,,2024-25,10546,64.7
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),0 to 17 years,,2022-23,284,2.2
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),0 to 17 years,,2023-24,348,2.3
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),0 to 17 years,,2024-25,680,4.2
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),18 to 24 years,,2022-23,1094,8.5
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),18 to 24 years,,2023-24,1325,8.6
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),18 to 24 years,,2024-25,1714,10.5
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),25 to 34 years,,2022-23,2964,23.1
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),25 to 34 years,,2023-24,3640,23.6
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),25 to 34 years,,2024-25,4036,24.8
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),35 to 49 years,,2022-23,4209,32.8
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),35 to 49 years,,2023-24,5130,33.3
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),35 to 49 years,,2024-25,5764,35.4
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),50 to 64 years,,2022-23,1729,13.5
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),50 to 64 years,,2023-24,2192,14.2
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),50 to 64 years,,2024-25,2319,14.2
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),65 years and over,,2022-23,1012,7.9
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),65 years and over,,2023-24,1156,7.5
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),65 years and over,,2024-25,1112,6.8
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),Unknown,,2022-23,1538,12
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),Unknown,,2023-24,1596,10.4
3,"Clients who received non-legal support services, Selected characteristics, Australia, 2022-23 to 2024-25",Australia (all sub-sectors combined),Age (group),Unknown,,2024-25,661,4.1
