table,table_title,sub_sector,category,item,parent_item,year,number,proportion_pct
27,"Clients who received duty lawyer services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Aboriginal and/or Torres Strait Islander,,2022-23,858,7.6
27,"Clients who received duty lawyer services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Aboriginal and/or Torres Strait Islander,,2023-24,924,8.9
27,"Clients who received duty lawyer services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Aboriginal and/or Torres Strait Islander,,2024-25,1254,11.1
27,"Clients who received duty lawyer services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Non-Indigenous,,2022-23,9010,79.9
27,"Clients who received duty lawyer services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Non-Indigenous,,2023-24,8668,83.7
27,"Clients who received duty lawyer services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Non-Indigenous,,2024-25,9224,82
27,"Clients who received duty lawyer services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Unknown,,2022-23,1409,12.5
27,"Clients who received duty lawyer services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Unknown,,2023-24,765,7.4
27,"Clients who received duty lawyer services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Aboriginal and Torres Strait Islander status,Unknown,,2024-25,778,6.9
27,"Clients who received duty lawyer services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Gender,Male,,2022-23,3822,33.9
27,"Clients who received duty lawyer services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Gender,Male,,2023-24,3761,36.3
27,"Clients who received duty lawyer services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Gender,Male,,2024-25,4095,36.4
27,"Clients who received duty lawyer services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Gender,Female,,2022-23,6886,61.1
27,"Clients who received duty lawyer services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Gender,Female,,2023-24,6313,61
27,"Clients who received duty lawyer services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Gender,Female,,2024-25,6822,60.6
27,"Clients who received duty lawyer services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),0 to 17 years,,2022-23,761,6.8
27,"Clients who received duty lawyer services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),0 to 17 years,,2023-24,644,6.2
27,"Clients who received duty lawyer services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),0 to 17 years,,2024-25,556,4.9
27,"Clients who received duty lawyer services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),18 to 24 years,,2022-23,1314,11.7
27,"Clients who received duty lawyer services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),18 to 24 years,,2023-24,1193,11.5
27,"Clients who received duty lawyer services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),18 to 24 years,,2024-25,1499,13.3
27,"Clients who received duty lawyer services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),25 to 34 years,,2022-23,2815,25
27,"Clients who received duty lawyer services, Selected characteristics, Community Legal Centres, 2022-23 to 2024-25",Community Legal Centres,Age (group),25 to 34 years,,2023-24,2500,24.1
