table,table_title,sub_sector,category,item,parent_item,year,number,proportion_pct
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Aboriginal and Torres Strait Islander status,Aboriginal and/or Torres Strait Islander,,2022-23,6659,20.7
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Aboriginal and Torres Strait Islander status,Aboriginal and/or Torres Strait Islander,,2023-24,6844,21.6
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Aboriginal and Torres Strait Islander status,Aboriginal and/or Torres Strait Islander,,2024-25,6957,21.6
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Aboriginal and Torres Strait Islander status,Non-Indigenous,,2022-23,25090,78.2
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Aboriginal and Torres Strait Islander status,Non-Indigenous,,2023-24,24259,76.7
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Aboriginal and Torres Strait Islander status,Non-Indigenous,,2024-25,24516,76.2
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Aboriginal and Torres Strait Islander status,Unknown,,2022-23,353,1.1
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Aboriginal and Torres Strait Islander status,Unknown,,2023-24,528,1.7
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Aboriginal and Torres Strait Islander status,Unknown,,2024-25,723,2.2
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Gender,Male,,2022-23,17969,56
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Gender,Male,,2023-24,17143,54.2
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Gender,Male,,2024-25,17243,53.6
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Gender,Female,,2022-23,13583,42.3
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Gender,Female,,2023-24,14066,44.5
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Gender,Female,,2024-25,14444,44.9
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),0 to 9 years,,2022-23,168,0.5
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),0 to 9 years,,2023-24,107,0.3
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),0 to 9 years,,2024-25,135,0.4
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),10 to 19 years,,2022-23,4937,15.4
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),10 to 19 years,,2023-24,4753,15
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),10 to 19 years,,2024-25,4807,14.9
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),20 to 24 years,,2022-23,2400,7.5
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),20 to 24 years,,2023-24,2200,7
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),20 to 24 years,,2024-25,2375,7.4
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),25 to 34 years,,2022-23,7504,23.4
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),25 to 34 years,,2023-24,7430,23.5
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),25 to 34 years,,2024-25,7790,24.2
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),35 to 44 years,,2022-23,7360,22.9
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),35 to 44 years,,2023-24,7687,24.3
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),35 to 44 years,,2024-25,8159,25.3
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),45 to 54 years,,2022-23,4826,15
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),45 to 54 years,,2023-24,4800,15.2
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),45 to 54 years,,2024-25,4800,14.9
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),55 to 64 years,,2022-23,2682,8.4
11,"Clients who received legal task services, Selected characteristics, Legal Aid Commissions, 2022-23 to 2024-25",Legal Aid Commissions,Age (group),55 to 64 years,,2023-24,2527,8
