table,table_title,sub_sector,category,item,parent_item,year,number,proportion_pct
19,"Clients who received legal task services, Selected characteristics, Aboriginal and Torres Strait Islander Legal Services, 2022-23 to 2024-25",Aboriginal and Torres Strait Islander Legal Services,Gender,Male,,2022-23,1752,58.5
19,"Clients who received legal task services, Selected characteristics, Aboriginal and Torres Strait Islander Legal Services, 2022-23 to 2024-25",Aboriginal and Torres Strait Islander Legal Services,Gender,Male,,2023-24,2486,58.5
19,"Clients who received legal task services, Selected characteristics, Aboriginal and Torres Strait Islander Legal Services, 2022-23 to 2024-25",Aboriginal and Torres Strait Islander Legal Services,Gender,Male,,2024-25,3044,56
19,"Clients who received legal task services, Selected characteristics, Aboriginal and Torres Strait Islander Legal Services, 2022-23 to 2024-25",Aboriginal and Torres Strait Islander Legal Services,Gender,Female,,2022-23,1213,40.5
19,"Clients who received legal task services, Selected characteristics, Aboriginal and Torres Strait Islander Legal Services, 2022-23 to 2024-25",Aboriginal and Torres Strait Islander Legal Services,Gender,Female,,2023-24,1740,41
19,"Clients who received legal task services, Selected characteristics, Aboriginal and Torres Strait Islander Legal Services, 2022-23 to 2024-25",Aboriginal and Torres Strait Islander Legal Services,Gender,Female,,2024-25,2357,43.4
19,"Clients who received legal task services, Selected characteristics, Aboriginal and Torres Strait Islander Legal Services, 2022-23 to 2024-25",Aboriginal and Torres Strait Islander Legal Services,Age (group),0 to 9 years,,2022-23,18,0.6
19,"Clients who received legal task services, Selected characteristics, Aboriginal and Torres Strait Islander Legal Services, 2022-23 to 2024-25",Aboriginal and Torres Strait Islander Legal Services,Age (group),0 to 9 years,,2023-24,17,0.4
19,"Clients who received legal task services, Selected characteristics, Aboriginal and Torres Strait Islander Legal Services, 2022-23 to 2024-25",Aboriginal and Torres Strait Islander Legal Services,Age (group),0 to 9 years,,2024-25,8,0.1
19,"Clients who received legal task services, Selected characteristics, Aboriginal and Torres Strait Islander Legal Services, 2022-23 to 2024-25",Aboriginal and Torres Strait Islander Legal Services,Age (group),10 to 19 years,,2022-23,251,8.4
19,"Clients who received legal task services, Selected characteristics, Aboriginal and Torres Strait Islander Legal Services, 2022-23 to 2024-25",Aboriginal and Torres Strait Islander Legal Services,Age (group),10 to 19 years,,2023-24,357,8.4
19,"Clients who received legal task services, Selected characteristics, Aboriginal and Torres Strait Islander Legal Services, 2022-23 to 2024-25",Aboriginal and Torres Strait Islander Legal Services,Age (group),10 to 19 years,,2024-25,484,8.9
19,"Clients who received legal task services, Selected characteristics, Aboriginal and Torres Strait Islander Legal Services, 2022-23 to 2024-25",Aboriginal and Torres Strait Islander Legal Services,Age (group),20 to 24 years,,2022-23,206,6.9
19,"Clients who received legal task services, Selected characteristics, Aboriginal and Torres Strait Islander Legal Services, 2022-23 to 2024-25",Aboriginal and Torres Strait Islander Legal Services,Age (group),20 to 24 years,,2023-24,384,9
19,"Clients who received legal task services, Selected characteristics, Aboriginal and Torres Strait Islander Legal Services, 2022-23 to 2024-25",Aboriginal and Torres Strait Islander Legal Services,Age (group),20 to 24 years,,2024-25,642,11.8
19,"Clients who received legal task services, Selected characteristics, Aboriginal and Torres Strait Islander Legal Services, 2022-23 to 2024-25",Aboriginal and Torres Strait Islander Legal Services,Age (group),25 to 34 years,,2022-23,603,20.1
19,"Clients who received legal task services, Selected characteristics, Aboriginal and Torres Strait Islander Legal Services, 2022-23 to 2024-25",Aboriginal and Torres Strait Islander Legal Services,Age (group),25 to 34 years,,2023-24,984,23.2
19,"Clients who received legal task services, Selected characteristics, Aboriginal and Torres Strait Islander Legal Services, 2022-23 to 2024-25",Aboriginal and Torres Strait Islander Legal Services,Age (group),25 to 34 years,,2024-25,1620,29.8
