STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,266,10705,25030,31148,30183,32949,35414,165695,6.03%
VIC,463,20916,37039,36629,30532,26965,23633,176177,8.49%
QLD,458,15263,28840,31821,30641,28646,23567,159236,9.96%
SA,2638,8900,9856,11172,11259,11944,12180,67949,10.69%
WA,314,14082,23415,23646,21336,17879,14604,115276,14.23%
TAS,111,2478,3949,4567,4734,4518,3306,23663,12.00%
NT,18,625,1446,1289,957,674,263,5272,7.40%
ACT,73,1749,3305,2920,2326,2060,1551,13984,10.51%
TOTAL,4341,74718,132880,143192,131968,125635,114518,727252,8.79%
,,,,,,,,,
