STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,280608,23.26%,-4.81%
VIC,288775,23.94%,0.11%
QLD,263399,21.83%,4.65%
SA,114912,9.52%,3.54%
WA,188770,15.65%,4.31%
TAS,38573,3.20%,7.97%
NT,8436,0.70%,-14.41%
ACT,22989,1.91%,2.18%
TOTAL,1206462,100.00%,0.96%
