location_id,location_name,location_type,location_type_label,state_name,disaster_name,disaster_agrn,payment_type_name,date_of_data,eligible_claims,ineligible_claims,finalised_claims,cancelled_claims,withdrawn_claims,onhand_claims,incoming_claims,total_received_claims,applications_received,dollars_granted,dollars_paid
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1011 - South East Queensland Rainfall and Flooding (22 February - 5 April 2022),1011,Disaster Recovery Allowance,2022-12-29,314,897,1211,1539,3181,<20,5931,5931,5931,1340191.33,1342178.89
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1011 - South East Queensland Rainfall and Flooding (22 February - 5 April 2022),1011,Disaster Recovery Payment,2026-03-27,10089,25094,35183,12640,49293,<20,97116,97116,97116,10967600.00,10958736.18
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1011 - South East Queensland Rainfall and Flooding (22 February - 5 April 2022),1011,New Zealand disaster recovery allowance,2025-10-16,<20,<20,27,<20,<20,<20,38,38,38,31004.68,31004.68
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1011 - South East Queensland Rainfall and Flooding (22 February - 5 April 2022),1011,New Zealand Disaster recovery payment,2023-02-01,210,1696,1906,1096,3110,<20,6112,6112,6112,232000.00,231000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,Australian Government Disaster Recovery Allowance Supplement,2023-08-21,,,8121,,,,,,<20,4768200.00,4758995.78
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,Australian Government Disaster Recovery Payment Supplement,2023-05-25,,,12613,,,,,,<20,13643950.00,13494013.53
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,Disaster Recovery Allowance,2023-06-01,619,1590,2209,3007,4138,<20,9354,9354,9354,2526001.77,2511656.52
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,Disaster Recovery Payment,2025-12-29,14436,48011,62447,17440,51836,<20,131723,131723,131723,15683149.86,15619368.94
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,New Zealand disaster recovery allowance,2025-10-17,23,32,55,113,<20,<20,168,168,168,92095.43,92095.43
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,New Zealand Disaster recovery payment,2023-08-21,208,1975,2183,1137,2847,<20,6167,6167,6167,228800.00,225800.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,New Zealand Disaster Recovery Payment Supplement,2023-01-16,,,97,,,,,,<20,101800.00,100400.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1025 - NSW Severe Weather and Flooding (27 June 2022 onwards),1025,Disaster Recovery Allowance,2024-03-04,276,1268,1544,1675,1631,<20,4850,4850,4850,1435728.03,1425892.60
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1025 - NSW Severe Weather and Flooding (27 June 2022 onwards),1025,Disaster Recovery Payment,2025-05-26,10651,36397,47048,8993,35060,<20,91101,91101,91101,11513475.00,11466856.19
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1025 - NSW Severe Weather and Flooding (27 June 2022 onwards),1025,New Zealand disaster recovery allowance,2024-03-01,<20,23,25,<20,<20,<20,38,38,38,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1025 - NSW Severe Weather and Flooding (27 June 2022 onwards),1025,New Zealand Disaster recovery payment,2023-05-27,182,1430,1612,644,2320,<20,4576,4576,4576,201800.00,200800.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,Disaster Recovery Allowance,2023-08-11,165,1330,1495,2603,1053,<20,5151,5151,5151,633357.90,632689.50
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,Disaster Recovery Payment,2025-05-26,1428,30837,32265,8625,38738,<20,79628,79628,79628,1702200.00,1698200.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,New Zealand disaster recovery allowance,2023-11-24,<20,48,50,21,<20,<20,71,71,71,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,New Zealand Disaster recovery payment,2024-10-15,83,566,649,427,1223,<20,2299,2299,2299,91600.00,91600.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1037 - Victorian Floods (commencing 6 October 2022),1037,Disaster Recovery Allowance,2025-03-31,192,322,514,832,454,<20,1800,1800,1800,772897.17,769316.46
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1037 - Victorian Floods (commencing 6 October 2022),1037,Disaster Recovery Payment,2024-05-03,3413,12470,15883,5393,28812,<20,50088,50088,50088,3715100.00,3698013.43
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1037 - Victorian Floods (commencing 6 October 2022),1037,New Zealand disaster recovery allowance,2023-09-28,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1037 - Victorian Floods (commencing 6 October 2022),1037,New Zealand Disaster recovery payment,2023-07-28,81,474,555,408,1396,<20,2359,2359,2359,92200.00,92200.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1038 - Severe Weather Event (commencing 13 October 2022),1038,Disaster Recovery Allowance,2023-06-05,<20,38,46,83,76,<20,205,205,205,42847.87,42847.87
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1038 - Severe Weather Event (commencing 13 October 2022),1038,Disaster Recovery Payment,2023-11-23,428,3313,3741,1221,6596,<20,11558,11558,11558,480200.00,479200.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1038 - Severe Weather Event (commencing 13 October 2022),1038,New Zealand disaster recovery allowance,2023-01-10,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1038 - Severe Weather Event (commencing 13 October 2022),1038,New Zealand Disaster recovery payment,2023-04-17,<20,81,87,92,292,<20,471,471,471,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1042 - South Australian Floods (commencing 15 November 2022),1042,Disaster Recovery Allowance,2025-11-17,40,108,148,256,99,<20,503,503,503,157529.24,157529.24
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1042 - South Australian Floods (commencing 15 November 2022),1042,New Zealand disaster recovery allowance,2024-04-15,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1044 - Ex TC Ellie and associated flooding (28 December 2022 onwards),1044,Disaster Recovery Allowance,2024-03-06,<20,57,69,118,64,<20,251,251,251,52617.32,52617.32
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1044 - Ex TC Ellie and associated flooding (28 December 2022 onwards),1044,Disaster Recovery Payment,2024-01-03,187,2099,2286,783,3477,<20,6546,6546,6546,227600.00,227600.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1044 - Ex TC Ellie and associated flooding (28 December 2022 onwards),1044,New Zealand disaster recovery allowance,2023-06-19,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1044 - Ex TC Ellie and associated flooding (28 December 2022 onwards),1044,New Zealand Disaster recovery payment,2023-07-11,<20,35,35,<20,28,<20,71,71,71,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1045 - Ex-Tropical Cyclone Ellie and Flooding (December 2022),1045,Disaster Recovery Allowance,2023-07-07,<20,38,40,64,36,<20,140,140,140,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1045 - Ex-Tropical Cyclone Ellie and Flooding (December 2022),1045,New Zealand disaster recovery allowance,2023-04-12,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1046 - Northern and Central Queensland Monsoon and flooding (20 Dec 2022 - March 2023),1046,Disaster Recovery Allowance,2023-10-03,<20,109,112,155,60,<20,327,327,327,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1046 - Northern and Central Queensland Monsoon and flooding (20 Dec 2022 - March 2023),1046,Disaster Recovery Payment,2023-10-20,97,3087,3184,1168,2726,<20,7078,7078,7078,112400.00,111400.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1046 - Northern and Central Queensland Monsoon and flooding (20 Dec 2022 - March 2023),1046,New Zealand disaster recovery allowance,2024-03-15,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1046 - Northern and Central Queensland Monsoon and flooding (20 Dec 2022 - March 2023),1046,New Zealand Disaster recovery payment,2023-09-16,<20,51,51,<20,23,<20,88,88,88,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1051 - Northern Region Flooding (26 February 2023 onwards),1051,Disaster Recovery Allowance,2023-10-03,<20,67,67,115,56,<20,238,238,238,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1051 - Northern Region Flooding (26 February 2023 onwards),1051,Disaster Recovery Payment,2023-10-23,35,1634,1669,630,1517,<20,3816,3816,3816,42800.00,42800.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1051 - Northern Region Flooding (26 February 2023 onwards),1051,New Zealand disaster recovery allowance,2023-10-18,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1051 - Northern Region Flooding (26 February 2023 onwards),1051,New Zealand Disaster recovery payment,2023-10-06,<20,38,38,<20,23,<20,71,71,71,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1078 - Southern Queensland Bushfires (8 September - 7 November 2023),1078,Disaster Recovery Allowance,2024-05-16,<20,109,109,<20,72,<20,183,183,183,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1078 - Southern Queensland Bushfires (8 September - 7 November 2023),1078,Disaster Recovery Payment,2025-01-22,64,3657,3721,28,2551,<20,6300,6300,6300,79800.00,78800.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1078 - Southern Queensland Bushfires (8 September - 7 November 2023),1078,New Zealand disaster recovery allowance,2024-10-15,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1078 - Southern Queensland Bushfires (8 September - 7 November 2023),1078,New Zealand Disaster recovery payment,2024-04-16,<20,47,49,<20,21,<20,70,70,70,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,"AGRN 1088 - Tropical Cyclone Jasper, associated rainfall and flooding (13 - 28 December 2023)",1088,Disaster Recovery Allowance,2024-12-10,49,310,359,<20,192,<20,556,556,556,260083.11,260083.11
-1,Unknown,LGA,Local Government Area,Unknown,"AGRN 1088 - Tropical Cyclone Jasper, associated rainfall and flooding (13 - 28 December 2023)",1088,Disaster Recovery Payment,2024-08-23,583,7272,7855,36,5484,<20,13375,13375,13375,676000.00,676200.00
-1,Unknown,LGA,Local Government Area,Unknown,"AGRN 1088 - Tropical Cyclone Jasper, associated rainfall and flooding (13 - 28 December 2023)",1088,New Zealand disaster recovery allowance,2024-10-16,<20,30,31,<20,<20,<20,45,45,45,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,"AGRN 1088 - Tropical Cyclone Jasper, associated rainfall and flooding (13 - 28 December 2023)",1088,New Zealand Disaster recovery payment,2024-09-25,<20,69,80,<20,42,<20,124,124,124,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1094 - South East Queensland Severe Storms and Rainfall (commencing 24 December 2023),1094,Disaster Recovery Allowance,2024-08-06,<20,178,195,<20,125,<20,323,323,323,86792.82,84388.54
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1094 - South East Queensland Severe Storms and Rainfall (commencing 24 December 2023),1094,Disaster Recovery Payment,2024-09-12,513,6116,6629,26,3527,<20,10182,10182,10182,596400.00,596200.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1094 - South East Queensland Severe Storms and Rainfall (commencing 24 December 2023),1094,New Zealand disaster recovery allowance,2024-06-25,<20,20,22,20,<20,<20,42,42,42,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1094 - South East Queensland Severe Storms and Rainfall (commencing 24 December 2023),1094,New Zealand Disaster recovery payment,2024-08-19,20,103,123,<20,55,<20,178,178,178,24800.00,24800.00
-1,Unknown,LGA,Local Government Area,Unknown,"AGRN 1102 - Tropical Cyclone Kirrily, associated rainfall and flooding (25 January - 26 February 2024))",1102,Disaster Recovery Payment,2024-11-25,57,1838,1895,<20,988,<20,2888,2888,2888,66400.00,66400.00
-1,Unknown,LGA,Local Government Area,Unknown,"AGRN 1102 - Tropical Cyclone Kirrily, associated rainfall and flooding (25 January - 26 February 2024))",1102,New Zealand Disaster recovery payment,2024-09-06,<20,24,25,<20,<20,<20,40,40,40,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1108 - Victorian Bushfires and Storms (commencing 13 February 2024),1108,Disaster Recovery Payment,2024-09-27,37,1510,1547,<20,811,<20,2368,2368,2368,42800.00,42800.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1108 - Victorian Bushfires and Storms (commencing 13 February 2024),1108,New Zealand Disaster recovery payment,2024-07-13,<20,<20,<20,<20,<20,<20,32,32,32,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1149 - Far West Region Storm (17 October 2024 onwards),1149,Disaster Recovery Allowance,2025-05-27,<20,287,293,<20,161,<20,456,456,456,33106.91,33106.91
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1149 - Far West Region Storm (17 October 2024 onwards),1149,New Zealand disaster recovery allowance,2025-10-20,<20,27,27,<20,<20,<20,28,28,28,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1166 - Western Victoria Bushfires (commencing 16 December 2024),1166,Disaster Recovery Allowance,2025-07-02,21,51,72,<20,45,<20,120,120,120,106700.96,106700.96
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1166 - Western Victoria Bushfires (commencing 16 December 2024),1166,New Zealand disaster recovery allowance,2025-11-19,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1174 - North and Far North Tropical Low: (29 January 2025 - 28 February),1174,Disaster Recovery Allowance,2026-01-20,69,308,377,<20,357,<20,739,739,739,341898.98,343314.73
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1174 - North and Far North Tropical Low: (29 January 2025 - 28 February),1174,Disaster Recovery Payment,2026-04-09,607,4286,4893,39,3496,<20,8428,8428,8428,707200.00,702683.61
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1174 - North and Far North Tropical Low: (29 January 2025 - 28 February),1174,New Zealand disaster recovery allowance,2025-11-27,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1174 - North and Far North Tropical Low: (29 January 2025 - 28 February),1174,New Zealand Disaster recovery payment,2025-09-09,<20,31,37,<20,24,<20,61,61,61,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1195 - QLD - Tropical Cyclone Alfred and associated rainfall and flooding (1-16 March 2025),1195,Disaster Recovery Allowance,2026-01-13,410,770,1180,<20,378,<20,1568,1568,1568,1978174.17,1979257.44
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1195 - QLD - Tropical Cyclone Alfred and associated rainfall and flooding (1-16 March 2025),1195,Disaster Recovery Payment,2026-03-26,2050,6469,8519,125,4183,<20,12827,12827,12827,2219600.00,2218000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1195 - QLD - Tropical Cyclone Alfred and associated rainfall and flooding (1-16 March 2025),1195,New Zealand disaster recovery allowance,2026-01-24,<20,68,74,<20,<20,<20,74,74,74,29518.14,29518.14
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1195 - QLD - Tropical Cyclone Alfred and associated rainfall and flooding (1-16 March 2025),1195,New Zealand Disaster recovery payment,2025-11-04,26,71,97,<20,34,<20,134,134,134,30800.00,31800.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1198 - Tropical Cyclone Alfred Severe Weather (from 6 March 2025),1198,Disaster Recovery Allowance,2026-01-06,83,290,373,<20,197,<20,575,575,575,422801.99,422801.99
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1198 - Tropical Cyclone Alfred Severe Weather (from 6 March 2025),1198,Disaster Recovery Payment,2026-04-08,558,4154,4712,39,3502,<20,8253,8253,8253,648200.00,646200.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1198 - Tropical Cyclone Alfred Severe Weather (from 6 March 2025),1198,New Zealand disaster recovery allowance,2025-12-16,<20,24,24,<20,<20,<20,24,24,24,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1198 - Tropical Cyclone Alfred Severe Weather (from 6 March 2025),1198,New Zealand Disaster recovery payment,2025-09-03,<20,31,35,<20,23,<20,59,59,59,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1202 - Western Queensland Surface Trough Associated Rainfall and Flooding (21 March - 19 May 2025),1202,Disaster Recovery Allowance,2026-04-16,<20,55,72,<20,23,<20,98,98,97,75032.23,75032.23
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1202 - Western Queensland Surface Trough Associated Rainfall and Flooding (21 March - 19 May 2025),1202,Disaster Recovery Payment,2025-11-25,59,870,929,<20,595,<20,1536,1536,1536,65800.00,65800.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1202 - Western Queensland Surface Trough Associated Rainfall and Flooding (21 March - 19 May 2025),1202,New Zealand disaster recovery allowance,2025-12-04,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1202 - Western Queensland Surface Trough Associated Rainfall and Flooding (21 March - 19 May 2025),1202,New Zealand Disaster recovery payment,2026-04-16,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1212- NSW East Coast Severe Weather (from 18 May 2025),1212,Disaster Recovery Allowance,2026-04-16,25,216,241,<20,97,<20,347,347,345,141098.21,141098.21
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1212- NSW East Coast Severe Weather (from 18 May 2025),1212,Disaster Recovery Payment,2026-02-25,1074,4902,5976,41,2812,<20,8829,8829,8829,1188200.00,1192400.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1212- NSW East Coast Severe Weather (from 18 May 2025),1212,New Zealand disaster recovery allowance,2025-12-16,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1212- NSW East Coast Severe Weather (from 18 May 2025),1212,New Zealand Disaster recovery payment,2025-12-02,<20,28,28,<20,<20,<20,42,42,42,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1242 - Victorian Bushfires (commencing 7 January 2026),1242,Disaster Recovery Allowance,2026-04-16,<20,34,43,<20,<20,<20,64,64,56,38316.84,38316.84
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1242 - Victorian Bushfires (commencing 7 January 2026),1242,Disaster Recovery Payment,2026-04-16,169,1990,2159,<20,977,48,3194,3194,3146,188900.00,186899.68
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1242 - Victorian Bushfires (commencing 7 January 2026),1242,New Zealand disaster recovery allowance,2026-03-26,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1242 - Victorian Bushfires (commencing 7 January 2026),1242,New Zealand Disaster recovery payment,2026-04-15,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,"AGRN 1243 - Queensland Monsoon Trough, Cyclone Koji, Cyclone Narelle and Severe Weather (commencing 24 December 2025)",1243,Disaster Recovery Allowance,2026-04-16,<20,111,118,<20,57,29,206,206,177,32731.36,32731.36
-1,Unknown,LGA,Local Government Area,Unknown,"AGRN 1243 - Queensland Monsoon Trough, Cyclone Koji, Cyclone Narelle and Severe Weather (commencing 24 December 2025)",1243,Disaster Recovery Payment,2026-04-16,51,899,950,<20,440,327,1721,1721,1394,60200.00,60200.00
-1,Unknown,LGA,Local Government Area,Unknown,"AGRN 1243 - Queensland Monsoon Trough, Cyclone Koji, Cyclone Narelle and Severe Weather (commencing 24 December 2025)",1243,New Zealand disaster recovery allowance,2026-04-13,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,"AGRN 1243 - Queensland Monsoon Trough, Cyclone Koji, Cyclone Narelle and Severe Weather (commencing 24 December 2025)",1243,New Zealand Disaster recovery payment,2026-04-16,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1269 - 31U Tropical Low Flood Event and 34U Tropical Cyclone Narelle (March 2026),1269,Disaster Recovery Allowance,2026-04-16,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1269 - 31U Tropical Low Flood Event and 34U Tropical Cyclone Narelle (March 2026),1269,Disaster Recovery Payment,2026-04-16,294,638,932,<20,424,449,1809,1809,1360,351100.00,351100.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1269 - 31U Tropical Low Flood Event and 34U Tropical Cyclone Narelle (March 2026),1269,New Zealand Disaster recovery payment,2026-03-23,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1280 - WA - Severe Tropical Cyclone Narelle and associated flooding (25 -28 March 2026),1280,Disaster Recovery Allowance,2026-04-16,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1280 - WA - Severe Tropical Cyclone Narelle and associated flooding (25 -28 March 2026),1280,Disaster Recovery Payment,2026-04-16,<20,37,42,<20,24,36,102,102,66,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 1280 - WA - Severe Tropical Cyclone Narelle and associated flooding (25 -28 March 2026),1280,New Zealand Disaster recovery payment,2026-04-16,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 846 - South-East Victoria Bushfires (28 February 2019),846,Disaster Recovery Allowance,2020-09-11,<20,<20,<20,,,,,,<20,23176.99,23176.99
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 846 - South-East Victoria Bushfires (28 February 2019),846,Disaster Recovery Payment,2020-07-07,69,23,92,,,,,,92,85800.00,85800.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 846 - South-East Victoria Bushfires (28 February 2019),846,New Zealand Disaster recovery payment,2020-01-30,<20,<20,<20,,,,,,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 950 - Wooroloo Bushfire (1 February 2021),950,Disaster Recovery Allowance,2022-03-04,<20,<20,<20,,,,,,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 950 - Wooroloo Bushfire (1 February 2021),950,Disaster Recovery Payment,2022-02-04,144,23,167,,,,,,167,165200.00,165200.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 950 - Wooroloo Bushfire (1 February 2021),950,New Zealand disaster recovery allowance,2021-10-29,<20,<20,<20,,,,,,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 950 - Wooroloo Bushfire (1 February 2021),950,New Zealand Disaster recovery payment,2021-05-19,<20,<20,<20,,,,,,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 960 - NSW Storms and Floods (10 March 2021 onwards),960,Disaster Recovery Allowance,2022-10-27,31,<20,47,,,,,,47,103556.08,103556.08
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 960 - NSW Storms and Floods (10 March 2021 onwards),960,Disaster Recovery Payment,2022-09-19,3685,5059,8744,,,,,,8744,4362200.00,4362200.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 960 - NSW Storms and Floods (10 March 2021 onwards),960,New Zealand disaster recovery allowance,2021-06-10,<20,<20,<20,,,,,,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 960 - NSW Storms and Floods (10 March 2021 onwards),960,New Zealand Disaster recovery payment,2021-09-26,<20,<20,37,,,,,,37,23000.00,23000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 969 - Victorian Storms and Floods (commencing 9 June 2021),969,Disaster Recovery Allowance,2022-08-08,<20,<20,<20,,,,,,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,AGRN 969 - Victorian Storms and Floods (commencing 9 June 2021),969,Disaster Recovery Payment,2022-08-17,139,92,231,,,,,,231,167400.00,167400.00
-1,Unknown,LGA,Local Government Area,Unknown,Australian Capital Territory Bushfires: December 2019 - February 2020,897,Disaster Recovery Allowance,2020-06-15,<20,<20,<20,,,,,,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,North and Far North Queensland Monsoon Trough: from 25 January 2019,840,Disaster Recovery Allowance,2020-06-19,22,102,124,,,,,,124,72675.52,72675.52
-1,Unknown,LGA,Local Government Area,Unknown,North and Far North Queensland Monsoon Trough: from 25 January 2019,840,Disaster Recovery Payment,2019-12-09,3589,1516,5105,,,,,,5105,3985400.00,3985400.00
-1,Unknown,LGA,Local Government Area,Unknown,North and Far North Queensland Monsoon Trough: from 25 January 2019,840,New Zealand disaster recovery allowance,2019-06-19,<20,<20,<20,,,,,,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,North and Far North Queensland Monsoon Trough: from 25 January 2019,840,New Zealand Disaster recovery payment,2019-04-23,<20,<20,22,,,,,,22,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,NSW North Coast Bushfires: Commencing 18 July 2019 onwards,880,Disaster Recovery Allowance,2019-05-29,<20,<20,<20,,,,,,<20,<20000.00,<20000.00
-1,Unknown,LGA,Local Government Area,Unknown,NSW North Coast Bushfires: Commencing 18 July 2019 onwards,880,Disaster Recovery Payment,2019-11-14,209,62,271,,,,,,271,251000.00,251000.00
-1,Unknown,LGA,Local Government Area,Unknown,Queensland Bushfires: September - December 2019,909,Disaster Recovery Allowance,2020-07-23,<20,22,40,,,,,,40,124147.24,124147.24
-1,Unknown,LGA,Local Government Area,Unknown,Queensland Bushfires: September - December 2019,909,Disaster Recovery Payment,2020-10-21,655,273,928,,,,,,928,807400.00,807400.00
