STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,1254,141828,224327,228278,194462,222422,1012571,35.30%
VIC,1483,29286,43121,39313,32380,34528,180111,8.10%
QLD,1256,87454,89915,65756,41238,35507,321126,18.00%
SA,30198,66260,64387,61083,52680,58979,333587,50.50%
WA,703,16981,50730,54614,45897,51945,220870,22.60%
TAS,175,4630,15220,16788,15503,18587,70903,35.00%
NT,37,321,814,969,650,396,3187,3.40%
ACT,191,1291,2548,2518,1937,1826,10311,6.90%
TOTAL,35297,348051,491062,469319,384747,424190,2152666,24.00%
