STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1972974,46.23%,-0.08%
VIC,425983,9.98%,-0.17%
QLD,617188,14.46%,-0.10%
SA,639919,14.99%,-0.04%
WA,440622,10.32%,-0.07%
TAS,139401,3.27%,-0.05%
NT,7130,0.17%,-0.08%
ACT,24686,0.58%,-0.26%
TOTAL,4267903,100.00%,-0.08%
