STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,373941,21.89%,0.44%
VIC,426361,24.96%,0.37%
QLD,341700,20.00%,0.23%
SA,190471,11.15%,0.62%
WA,270919,15.86%,0.17%
TAS,53234,3.12%,0.17%
NT,13415,0.79%,0.27%
ACT,38083,2.23%,0.29%
TOTAL,1708124,100.00%,0.34%
