STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2088312.00,47.07%,0.17%
VIC,467314.00,10.53%,0.10%
QLD,644288.00,14.52%,-0.65%
SA,548098.00,12.35%,-0.30%
WA,495985.00,11.18%,-0.53%
TAS,155640.00,3.51%,-1.06%
NT,9971.00,0.22%,13.31%
ACT,26749.00,0.60%,0.91%
TOTAL,4436357.00,100.00%,-0.11%
