STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,87661,217148,242539,221853,158753,130763,1058717,40.03%
VIC,15201,46005,43068,39831,28336,22391,194832,9.97%
QLD,64088,91074,76636,49846,31465,19654,332763,21.63%
SA,33283,54085,55935,55545,42701,33840,275389,45.25%
WA,7354,47394,60737,55454,40308,32065,243312,30.86%
TAS,1654,14294,17977,18253,13433,11807,77418,41.54%
NT,203,716,1249,997,620,264,4049,5.12%
ACT,597,2235,2812,2559,1874,1243,11320,8.93%
TOTAL,210041,472951,500953,444338,317490,252027,2197800,27.73%
