STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,89194,228001,247701,216360,142417,105888,1029561,37.87%
VIC,22228,70385,62039,52141,35891,25814,268498,13.14%
QLD,62138,82290,72752,48389,29400,16554,311523,19.94%
SA,33212,55974,58520,56417,40072,28028,272223,43.24%
WA,9885,52817,64536,57330,38626,28110,251304,31.67%
TAS,2281,15285,19096,18864,12586,10110,78222,40.01%
NT,508,1617,1719,1182,674,220,5920,8.43%
ACT,1272,3808,3645,3143,2213,1347,15428,11.74%
STATE,220718,510177,530008,453826,301879,216071,2232679,27.42%
