STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2025125,47.26%,-0.05%
VIC,442199,10.32%,-0.08%
QLD,625147,14.59%,-0.07%
SA,554437,12.94%,0.15%
WA,460371,10.74%,-0.17%
TAS,145365,3.39%,-0.09%
NT,7752,0.18%,-0.10%
ACT,24824,0.58%,-0.15%
TOTAL,4285220,100.00%,-0.04%
