STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,62836,207654,238549,224603,165917,141552,1041111,38.89%
VIC,9247,43840,43686,39408,28920,23721,188822,9.50%
QLD,51120,91459,79148,52304,32676,21229,327936,20.75%
SA,29742,55697,55623,55618,43884,36522,277086,45.05%
WA,3489,42552,58778,55008,41272,34172,235271,29.14%
TAS,743,12557,17352,17695,13344,12370,74061,39.32%
NT,139,522,1107,900,567,259,3494,4.29%
ACT,446,2013,2802,2471,1837,1258,10827,8.41%
TOTAL,157762,456294,497045,448007,328417,271083,2158608,26.76%
