STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2041308,47.22%,-0.06%
VIC,448693,10.38%,-0.12%
QLD,631598,14.61%,-0.07%
SA,546223,12.63%,0.12%
WA,474390,10.97%,-0.15%
TAS,147121,3.40%,-0.11%
NT,8110,0.19%,-0.43%
ACT,25671,0.59%,-0.19%
TOTAL,4323114,100.00%,-0.06%
