STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,62525,214751,241786,217573,148478,115051,1000164,36.39%
VIC,13263,65820,61961,51070,36410,27410,255934,12.33%
QLD,48861,82038,74598,49893,30356,17914,303660,19.00%
SA,28914,55778,57190,55720,41021,30157,268780,42.30%
WA,5401,46318,61153,55668,39173,30065,237778,29.36%
TAS,1205,13331,17730,17964,12301,10529,73060,37.04%
NT,278,1132,1403,1020,573,210,4616,6.48%
ACT,912,3586,3643,3129,2159,1415,14844,11.15%
TOTAL,161359,482754,519464,452037,310471,232751,2158836,26.11%
