STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,4897,109149,215379,224345,188532,205208,947510,31.0%
VIC,5346,31772,63667,53088,42707,45091,241671,10.1%
QLD,5141,68989,78466,65621,41651,35322,295190,15.7%
SA,29533,60232,61361,60260,52023,56566,319975,46.0%
WA,2073,14197,47531,55234,46217,51893,217145,21.5%
TAS,579,3543,14021,16587,15248,17963,67941,32.5%
NT,165,617,1003,1111,676,401,3973,4.6%
ACT,602,2270,3660,3273,2379,2332,14516,9.3%
TOTAL,48336,290769,485088,479519,389433,414776,2107921,22.2%
