STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1950951,45.67%,-0.13%
VIC,425084,9.95%,-0.11%
QLD,614900,14.39%,-0.13%
SA,672378,15.74%,0.13%
WA,438068,10.25%,-0.10%
TAS,138319,3.24%,-0.11%
NT,7184,0.17%,-0.10%
ACT,24887,0.59%,-0.12%
TOTAL,4271771,100.00%,-0.09%
