STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2053695,47.33%,-0.10%
VIC,452468,10.43%,-0.16%
QLD,630974,14.54%,-0.13%
SA,543550,12.53%,-0.29%
WA,476985,10.99%,-0.26%
TAS,147175,3.39%,-0.15%
NT,9088,0.21%,-0.62%
ACT,25549,0.59%,-0.28%
TOTAL,4339484,100.00%,-0.15%
