STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,5020,112885,217225,224672,187781,202994,950577,31.1%
VIC,5410,32893,63868,53136,42480,44658,242445,10.1%
QLD,5246,70537,78885,65340,41294,34871,296173,15.7%
SA,29524,60522,61554,60148,51908,55777,319433,45.9%
WA,2128,14893,48018,55326,46005,51323,217693,21.6%
TAS,587,3742,14176,16649,15175,17760,68089,32.5%
NT,172,629,1025,1099,675,393,3993,4.6%
ACT,634,2309,3705,3254,2365,2316,14583,9.3%
TOTAL,48721,298410,488456,479624,387683,410092,2112986,22.2%
