STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1955932,45.71%,-0.12%
VIC,426150,9.96%,-0.21%
QLD,616437,14.41%,-0.15%
SA,670455,15.67%,0.15%
WA,438946,10.26%,-0.10%
TAS,138564,3.24%,-0.10%
NT,7195,0.17%,-0.28%
ACT,24972,0.58%,-0.30%
TOTAL,4278651,100.00%,-0.09%
