STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,7628,187319,232668,228371,183522,184104,1023612,35.58%
VIC,1805,38155,42244,40139,30525,29589,182457,8.20%
QLD,13499,97747,86092,59491,37118,28536,322483,18.01%
SA,26376,62813,60009,57988,48819,47875,303880,46.15%
WA,878,26855,54810,54025,43442,42708,222718,23.66%
TAS,189,7844,16606,17217,14623,15667,72146,36.41%
NT,60,362,930,916,592,322,3182,3.53%
ACT,208,1505,2681,2402,1873,1548,10217,7.03%
TOTAL,50643,422600,496040,460549,360514,350349,2140695,23.98%
