STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1997888,46.96%,-0.06%
VIC,430991,10.13%,-0.18%
QLD,618630,14.54%,-0.06%
SA,589015,13.84%,0.31%
WA,444500,10.45%,-0.09%
TAS,142252,3.34%,-0.13%
NT,7194,0.17%,-0.28%
ACT,24242,0.57%,-0.39%
TOTAL,4254712,100.00%,-0.03%
