date,sex,series_type,employed_total_000,unemployed_total_000,labour_force_total_000,unemployment_rate_pct,participation_rate_pct,employment_population_ratio_pct
1978-02,Females,Original,197.8223629,22.7451268,220.5674897,10.312094,44.9176096,40.2856635
1978-02,Females,Seasonally Adjusted,199.2753931,20.5903086,219.8657017,9.364948,44.7746936,40.5815668
1978-02,Females,Trend,200.2107173,17.4731388,217.6838561,8.0268418,44.315016,40.7579197
1978-02,Males,Original,357.2005056,22.8059747,380.0064803,6.0014699,80.3294472,75.5084996
1978-02,Males,Seasonally Adjusted,354.2479341,21.6523433,375.9002774,5.7601297,79.4614383,74.8843564
1978-02,Males,Trend,355.0054998,21.0589687,376.0644685,5.5998294,79.4452454,74.9964472
1978-02,Persons,Original,555.0228685,45.5511015,600.57397,7.5845947,62.2931586,57.568475
1978-02,Persons,Seasonally Adjusted,553.5233271,42.2426519,595.765979,7.0904774,61.7944608,57.4129385
1978-02,Persons,Trend,555.2162171,38.5321075,593.7483246,6.4896364,61.5544327,57.5597738
1978-03,Females,Original,206.6413907,17.88683,224.5282207,7.9664062,45.6427741,42.0066853
1978-03,Females,Seasonally Adjusted,201.6960082,16.8851836,218.5811917,7.7249023,44.4338441,41.0013731
1978-03,Females,Trend,201.5527798,17.0968879,218.6496676,7.8193066,44.4590888,40.9826964
1978-03,Males,Original,357.4209105,21.6473249,379.0682354,5.7106671,80.0103504,75.4412256
1978-03,Males,Seasonally Adjusted,354.6312509,21.9601718,376.5914228,5.831299,79.4875668,74.8524091
1978-03,Males,Trend,355.2292386,21.8929802,377.1222188,5.8052745,79.6124039,74.9906853
1978-03,Persons,Original,564.0623012,39.5341549,603.5964561,6.5497659,62.5035805,58.4097423
1978-03,Persons,Seasonally Adjusted,556.3272591,38.8453554,595.1726145,6.5267377,61.6312754,57.6087637
1978-03,Persons,Trend,556.7820183,38.9898681,595.7718864,6.544429,61.705332,57.6670703
1978-04,Females,Original,205.0233263,16.9424634,221.9657897,7.6329165,45.0817337,41.6406826
1978-04,Females,Seasonally Adjusted,202.8946667,17.1999445,220.0946112,7.8147958,44.7016933,41.2083473
1978-04,Females,Trend,202.8545349,16.8251976,219.6797324,7.6589667,44.6162223,41.1990806
1978-04,Males,Original,356.6470721,20.310235,376.9573071,5.3879404,79.5119263,75.2278711
1978-04,Males,Seasonally Adjusted,355.2609814,21.5368159,376.7977973,5.7157489,79.4782808,74.9355019
1978-04,Males,Trend,355.2882899,22.7978889,378.0861789,6.0298128,79.7603321,74.9509333
1978-04,Persons,Original,561.6703984,37.2526984,598.9230968,6.2199469,61.9713209,58.1167377
1978-04,Persons,Seasonally Adjusted,558.1556482,38.7367604,596.8924085,6.4897392,61.7612031,57.7530621
1978-04,Persons,Trend,558.1428248,39.6230865,597.7659113,6.628529,61.8538987,57.7538951
1978-05,Females,Original,202.0127304,16.631307,218.6440374,7.6065678,44.3568129,40.9827818
1978-05,Females,Seasonally Adjusted,202.5273195,16.1389436,218.6662631,7.3806281,44.3613219,41.0871777
1978-05,Females,Trend,204.1372525,16.5780926,220.7153451,7.5110739,44.7751801,41.4120832
1978-05,Males,Original,355.4171838,23.3071128,378.7242966,6.1541108,79.8139322,74.9020944
