date,location,unemployment_rate_trend_pct,unemployment_rate_seasonally_adjusted_pct,unemployment_rate_original_pct
1980-02,New South Wales,5.5915549,5.6475442,6.2658966
1980-02,Northern Territory,4.2402156,,3.540851
1980-02,Queensland,6.5654446,6.4613198,7.4643903
1980-02,South Australia,7.5560344,7.6036803,8.1053811
1980-02,Tasmania,6.5084981,6.5891795,7.1892106
1980-02,Victoria,5.6199812,5.4900005,6.0866946
1980-02,Western Australia,6.9834666,7.1002617,7.9789324
1980-03,Australia,6.112139,5.9367464,6.2089042
1980-03,Australian Capital Territory,6.0772436,,6.3269992
1980-03,New South Wales,5.574487,5.4262725,5.6900021
1980-03,Northern Territory,3.8887254,,2.7048075
1980-03,Queensland,6.6462146,6.5961784,7.1068808
1980-03,South Australia,7.7192188,7.3060368,7.3457921
1980-03,Tasmania,6.4850592,6.4964413,6.7799619
1980-03,Victoria,5.6491395,5.6504295,5.8747446
1980-03,Western Australia,6.784743,6.442144,6.7350161
1980-04,Australia,6.1468333,6.11476,6.1508992
1980-04,Australian Capital Territory,6.0435486,,4.7215326
1980-04,New South Wales,5.5797814,5.4406182,5.5289025
1980-04,Northern Territory,3.614343,,2.9170244
1980-04,Queensland,6.7119141,7.0744546,7.3622758
1980-04,South Australia,7.8865112,7.9531525,7.689987
1980-04,Tasmania,6.4342077,7.0862828,6.6052897
1980-04,Victoria,5.7404812,5.7938282,5.8677671
1980-04,Western Australia,6.6077737,6.4034513,6.2686609
1980-05,Australia,6.1768224,6.2459158,6.2268607
1980-05,Australian Capital Territory,6.0172283,,6.7623914
1980-05,New South Wales,5.6080046,5.7306917,5.7664169
1980-05,Northern Territory,3.4279695,,3.4260113
1980-05,Queensland,6.7458244,6.896103,6.9062712
1980-05,South Australia,8.0239722,8.4938205,8.4398356
1980-05,Tasmania,6.3641595,6.5007608,6.3045195
1980-05,Victoria,5.8541228,5.7374122,5.7961054
1980-05,Western Australia,6.4669007,6.5367854,6.1099167
1980-06,Australia,6.1880857,6.3233047,6.1285339
1980-06,Australian Capital Territory,5.9882883,,6.6358457
1980-06,New South Wales,5.6372032,5.6522858,5.4744163
1980-06,Northern Territory,3.3308986,,2.121989
