STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,284,8468,17606,22443,22694,25115,26825,123435,4.54%
VIC,617,13736,24692,25841,22397,20015,17509,124807,6.11%
QLD,477,10723,19170,21480,20841,19605,16418,108714,6.96%
SA,3792,5068,6058,7210,7184,8102,8711,46125,7.33%
WA,242,9240,14473,15629,14413,12605,10517,77119,9.72%
TAS,48,1394,2183,2512,2622,2419,1927,13105,6.70%
NT,16,338,774,704,527,325,164,2848,4.06%
ACT,52,1001,1978,1691,1451,1232,962,8367,6.36%
Other,0,0,1,4,2,3,0,10,0.00%
TOTAL,5528,49968,86935,97514,92131,89421,83033,504530,6.20%
