STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,423149,22.68%,0.57%
VIC,466595,25.00%,0.42%
QLD,369096,19.78%,0.41%
SA,212971,11.41%,0.25%
WA,283062,15.17%,0.22%
TAS,55886,2.99%,0.28%
NT,13686,0.73%,0.10%
ACT,41721,2.24%,0.36%
TOTAL,1866166,100.00%,0.39%
