STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,149,3609,17121,24968,28688,31572,56657,162764,5.60%
VIC,83,5188,29625,34183,32852,30943,42051,174925,7.70%
QLD,69,2868,16577,22912,26409,27183,41208,137226,7.60%
SA,2661,9373,12865,11727,13417,13842,22707,86592,13.00%
WA,30,3008,17214,19773,20987,20204,26748,107964,10.70%
TAS,6,590,2664,3116,3752,4427,6092,20647,10.20%
NT,0,122,841,1053,1119,1016,754,4905,5.00%
ACT,7,628,3237,3262,3058,2702,3305,16199,10.70%
TOTAL,3005,25386,100144,120994,130282,131889,199522,711222,7.80%
