STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,1291,133661,222586,228614,196140,228676,1010968,34.70%
VIC,1482,27466,43544,39471,32546,35477,179986,8.00%
QLD,1260,83899,90056,66830,42062,36814,320921,17.70%
SA,31381,66563,65293,61638,53308,61108,339291,50.90%
WA,670,15654,49764,54832,46284,53454,220658,21.80%
TAS,169,4137,14993,16773,15600,19128,70800,34.80%
NT,45,312,788,981,660,409,3195,3.20%
ACT,185,1259,2509,2522,1964,1885,10324,6.80%
TOTAL,36483,332951,489533,471661,388564,436951,2156143,23.60%
