STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1969431,46.08%,-0.02%
VIC,425895,9.96%,0.10%
QLD,617105,14.44%,0.05%
SA,650144,15.21%,0.25%
WA,440303,10.30%,0.02%
TAS,139251,3.26%,0.00%
NT,7104,0.17%,0.00%
ACT,24762,0.58%,0.14%
TOTAL,4273995,100.00%,0.05%
