STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,441,8738,37789,48322,44694,45486,67557,253027,8.40%
VIC,286,16869,63581,60791,49979,44074,51197,286777,12.20%
QLD,336,9932,40231,45753,42850,40098,47549,226749,12.20%
SA,3157,14175,21811,19605,19339,19612,26976,124675,18.10%
WA,113,8906,36762,35627,32121,28431,31122,173082,17.40%
TAS,42,2113,6031,6239,6532,6626,7121,34704,16.70%
NT,8,456,2298,2116,1750,1286,756,8670,10.00%
ACT,41,1654,6167,5463,4220,3528,3964,25037,16.10%
TOTAL,4424,62843,214670,223916,201485,189141,236242,1132721,12.10%
