STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,412147,22.48%,0.43%
VIC,459352,25.06%,0.25%
QLD,361722,19.73%,0.33%
SA,210214,11.47%,0.35%
WA,280108,15.28%,0.16%
TAS,55112,3.01%,0.25%
NT,13524,0.74%,0.18%
ACT,40906,2.23%,0.27%
TOTAL,1833085,100.00%,0.30%
