State,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,137,3609,17396,24957,29176,32073,58002,165350,5.60%
VIC,84,5023,29940,34326,33385,31479,43252,177489,7.70%
QLD,86,2837,16480,23054,26792,27585,42213,139047,7.60%
SA,3020,9263,13336,11810,13527,13967,23223,88146,13.10%
WA,35,2781,17143,19736,21197,20389,27410,108691,10.60%
TAS,9,561,2647,3101,3768,4460,6248,20794,10.20%
NT,1,115,843,1046,1144,1021,776,4946,5.00%
ACT,13,597,3269,3284,3128,2741,3407,16439,10.80%
TOTAL,3385,24786,101054,121314,132117,133715,204531,720902,7.80%
