State,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,472,9782,39470,50194,47274,47637,71570,266399,8.70%
VIC,338,16251,65453,62288,52227,45788,54426,296771,12.40%
QLD,428,10114,41328,47395,44734,41630,50632,236261,12.50%
SA,3206,13816,23151,19861,19985,19933,28360,128312,18.40%
WA,148,8022,37129,36334,32986,29234,32872,176725,17.50%
TAS,50,2008,6164,6294,6725,6890,7549,35680,17.00%
NT,8,411,2320,2166,1789,1308,819,8821,10.10%
ACT,34,1617,6277,5658,4417,3715,4225,25943,16.50%
TOTAL,4684,62021,221292,230190,210137,196135,250453,1174912,12.40%
