State,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,431749,22.77%,0.60%
VIC,474260,25.02%,0.50%
QLD,375308,19.80%,0.50%
SA,216458,11.42%,0.45%
WA,285416,15.06%,0.24%
TAS,56474,2.98%,0.35%
NT,13767,0.73%,0.39%
ACT,42382,2.24%,0.44%
TOTAL,1895814,100%,0.47%
