STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2005486,47.12%,-0.06%
VIC,435118,10.22%,-0.13%
QLD,620067,14.57%,-0.08%
SA,572922,13.46%,0.18%
WA,448054,10.53%,-0.13%
TAS,142962,3.36%,-0.08%
NT,7350,0.17%,0.04%
ACT,24382,0.57%,-0.12%
TOTAL,4256341,100.00%,-0.05%
