STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,17676,193300,234578,227966,181127,172150,1026797,36.00%
VIC,2154,40563,42173,40365,30986,27878,184119,8.36%
QLD,20875,97205,84720,57855,36174,26422,323251,18.26%
SA,25709,60941,58565,57147,47931,44328,294621,45.14%
WA,1047,30252,55727,54062,43189,39915,224192,24.23%
TAS,200,8862,16823,17300,14536,14692,72413,36.77%
NT,66,401,969,898,606,301,3241,3.58%
ACT,259,1577,2735,2411,1884,1443,10309,7.23%
TOTAL,67986,433101,496290,458004,356433,327129,2138943,24.22%
