STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,340696,21.70%,0.47%
VIC,387130,24.66%,0.76%
QLD,322172,20.52%,0.36%
SA,166722,10.62%,0.52%
WA,258433,16.46%,0.44%
TAS,47951,3.05%,0.81%
NT,12752,0.81%,0.40%
ACT,34262,2.18%,1.11%
TOTAL,1570118,100.00%,0.54%
