STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,56,4174,14147,22549,24011,27219,42978,135134,4.70%
VIC,94,8223,25631,30974,26875,25490,30190,147477,6.63%
QLD,83,5565,14974,22686,23791,24830,31402,123331,6.89%
SA,2177,8189,7867,10170,10841,11667,16650,67561,10.26%
WA,61,6528,15940,19148,19229,18560,20732,100198,10.64%
TAS,32,904,2290,2971,3407,3973,4387,17964,9.07%
NT,4,232,856,1002,1080,939,519,4632,5.13%
ACT,20,919,2673,2759,2566,2221,2273,13431,9.24%
TOTAL,2527,34734,84378,112259,111800,114899,149131,609728,6.83%
