,2015-16,2016-17,2017-18,2018-19,2019-20
Executives (total),1,1,1,1,2
Classification (tenured),0,0,0,0,0
Classification (untenured),1,1,1,1,2
Common Law Contract (not SAES),0,0,0,0,0
