lga_code,lga_name,sex,year,population,is_total_row
42250,Grant (DC),Persons,2036,9046,False
42600,Holdfast Bay (C),Persons,2016,36532,False
42600,Holdfast Bay (C),Persons,2021,37230,False
42600,Holdfast Bay (C),Persons,2026,37902,False
42600,Holdfast Bay (C),Persons,2031,38732,False
42600,Holdfast Bay (C),Persons,2036,39258,False
42750,Kangaroo Island (DC),Persons,2016,4836,False
42750,Kangaroo Island (DC),Persons,2021,5094,False
42750,Kangaroo Island (DC),Persons,2026,5338,False
42750,Kangaroo Island (DC),Persons,2031,5561,False
42750,Kangaroo Island (DC),Persons,2036,5777,False
43080,Karoonda East Murray (DC),Persons,2016,1118,False
43080,Karoonda East Murray (DC),Persons,2021,1128,False
43080,Karoonda East Murray (DC),Persons,2026,1130,False
43080,Karoonda East Murray (DC),Persons,2031,1126,False
43080,Karoonda East Murray (DC),Persons,2036,1114,False
43220,Kimba (DC),Persons,2016,1075,False
43220,Kimba (DC),Persons,2021,1061,False
43220,Kimba (DC),Persons,2026,1014,False
43220,Kimba (DC),Persons,2031,997,False
43220,Kimba (DC),Persons,2036,981,False
43360,Kingston (DC) (SA),Persons,2016,2438,False
43360,Kingston (DC) (SA),Persons,2021,2473,False
43360,Kingston (DC) (SA),Persons,2026,2497,False
43360,Kingston (DC) (SA),Persons,2031,2521,False
43360,Kingston (DC) (SA),Persons,2036,2540,False
43650,Light (RegC),Persons,2016,15041,False
43650,Light (RegC),Persons,2021,15902,False
43650,Light (RegC),Persons,2026,17004,False
43650,Light (RegC),Persons,2031,18161,False
43650,Light (RegC),Persons,2036,19276,False
43710,Lower Eyre Peninsula (DC),Persons,2016,5678,False
43710,Lower Eyre Peninsula (DC),Persons,2021,5692,False
43710,Lower Eyre Peninsula (DC),Persons,2026,5771,False
43710,Lower Eyre Peninsula (DC),Persons,2031,5788,False
43710,Lower Eyre Peninsula (DC),Persons,2036,5806,False
43790,Loxton Waikerie (DC),Persons,2016,11726,False
43790,Loxton Waikerie (DC),Persons,2021,11868,False
43790,Loxton Waikerie (DC),Persons,2026,11967,False
43790,Loxton Waikerie (DC),Persons,2031,12028,False
43790,Loxton Waikerie (DC),Persons,2036,12037,False
44000,Maralinga Tjarutja (AC),Persons,2016,66,False
44000,Maralinga Tjarutja (AC),Persons,2021,66,False
44000,Maralinga Tjarutja (AC),Persons,2026,66,False
44000,Maralinga Tjarutja (AC),Persons,2031,66,False
44000,Maralinga Tjarutja (AC),Persons,2036,66,False
44060,Marion (C),Persons,2016,90515,False
44060,Marion (C),Persons,2021,95717,False
44060,Marion (C),Persons,2026,100401,False
44060,Marion (C),Persons,2031,104886,False
44060,Marion (C),Persons,2036,107090,False
44210,Mid Murray (DC),Persons,2016,8846,False
44210,Mid Murray (DC),Persons,2021,9150,False
44210,Mid Murray (DC),Persons,2026,9494,False
44210,Mid Murray (DC),Persons,2031,9770,False
44210,Mid Murray (DC),Persons,2036,9967,False
44340,Mitcham (C),Persons,2016,66486,False
44340,Mitcham (C),Persons,2021,67119,False
44340,Mitcham (C),Persons,2026,68360,False
44340,Mitcham (C),Persons,2031,69589,False
44340,Mitcham (C),Persons,2036,71319,False
44550,Mount Barker (DC),Persons,2016,33891,False
44550,Mount Barker (DC),Persons,2021,36935,False
44550,Mount Barker (DC),Persons,2026,40178,False
44550,Mount Barker (DC),Persons,2031,43520,False
44550,Mount Barker (DC),Persons,2036,46835,False
44620,Mount Gambier (C),Persons,2016,27053,False
44620,Mount Gambier (C),Persons,2021,27794,False
44620,Mount Gambier (C),Persons,2026,28561,False
44620,Mount Gambier (C),Persons,2031,29175,False
44620,Mount Gambier (C),Persons,2036,29682,False
44830,Mount Remarkable (DC),Persons,2016,2910,False
44830,Mount Remarkable (DC),Persons,2021,2902,False
44830,Mount Remarkable (DC),Persons,2026,2916,False
44830,Mount Remarkable (DC),Persons,2031,2917,False
44830,Mount Remarkable (DC),Persons,2036,2908,False
45040,Murray Bridge (RC),Persons,2016,21565,False
45040,Murray Bridge (RC),Persons,2021,22694,False
45040,Murray Bridge (RC),Persons,2026,23916,False
45040,Murray Bridge (RC),Persons,2031,24944,False
45040,Murray Bridge (RC),Persons,2036,25786,False
45090,Naracoorte and Lucindale (DC),Persons,2016,8544,False
45090,Naracoorte and Lucindale (DC),Persons,2021,8723,False
45090,Naracoorte and Lucindale (DC),Persons,2026,8874,False
45090,Naracoorte and Lucindale (DC),Persons,2031,8995,False
45090,Naracoorte and Lucindale (DC),Persons,2036,9088,False
45120,Northern Areas (DC),Persons,2016,4624,False
45120,Northern Areas (DC),Persons,2021,4614,False
45120,Northern Areas (DC),Persons,2026,4632,False
45120,Northern Areas (DC),Persons,2031,4633,False
45120,Northern Areas (DC),Persons,2036,4647,False
45290,Norwood Payneham St Peters (C),Persons,2016,36396,False
45290,Norwood Payneham St Peters (C),Persons,2021,37150,False
45290,Norwood Payneham St Peters (C),Persons,2026,38251,False
45290,Norwood Payneham St Peters (C),Persons,2031,39234,False
45290,Norwood Payneham St Peters (C),Persons,2036,40063,False
45340,Onkaparinga (C),Persons,2016,169368,False
45340,Onkaparinga (C),Persons,2021,175040,False
45340,Onkaparinga (C),Persons,2026,181242,False
45340,Onkaparinga (C),Persons,2031,186321,False
45340,Onkaparinga (C),Persons,2036,191162,False
45400,Orroroo/Carrieton (DC),Persons,2016,922,False
45400,Orroroo/Carrieton (DC),Persons,2021,920,False
45400,Orroroo/Carrieton (DC),Persons,2026,912,False
45400,Orroroo/Carrieton (DC),Persons,2031,906,False
45400,Orroroo/Carrieton (DC),Persons,2036,897,False
45540,Peterborough (DC),Persons,2016,1712,False
45540,Peterborough (DC),Persons,2021,1702,False
45540,Peterborough (DC),Persons,2026,1707,False
45540,Peterborough (DC),Persons,2031,1713,False
45540,Peterborough (DC),Persons,2036,1712,False
45680,Playford (C),Persons,2016,90549,False
45680,Playford (C),Persons,2021,100356,False
45680,Playford (C),Persons,2026,109691,False
45680,Playford (C),Persons,2031,119671,False
45680,Playford (C),Persons,2036,130080,False
45890,Port Adelaide Enfield (C),Persons,2016,123994,False
45890,Port Adelaide Enfield (C),Persons,2021,130327,False
45890,Port Adelaide Enfield (C),Persons,2026,138391,False
45890,Port Adelaide Enfield (C),Persons,2031,145995,False
45890,Port Adelaide Enfield (C),Persons,2036,152501,False
46090,Port Augusta (C),Persons,2016,14357,False
46090,Port Augusta (C),Persons,2021,14183,False
46090,Port Augusta (C),Persons,2026,14367,False
46090,Port Augusta (C),Persons,2031,14497,False
46090,Port Augusta (C),Persons,2036,14608,False
46300,Port Lincoln (C),Persons,2016,14515,False
46300,Port Lincoln (C),Persons,2021,14576,False
46300,Port Lincoln (C),Persons,2026,14615,False
46300,Port Lincoln (C),Persons,2031,14712,False
46300,Port Lincoln (C),Persons,2036,14818,False
46450,Port Pirie City and Dists (M),Persons,2016,17767,False
46450,Port Pirie City and Dists (M),Persons,2021,17893,False
46450,Port Pirie City and Dists (M),Persons,2026,18034,False
46450,Port Pirie City and Dists (M),Persons,2031,18103,False
46450,Port Pirie City and Dists (M),Persons,2036,18141,False
46510,Prospect (C),Persons,2016,21124,False
46510,Prospect (C),Persons,2021,21521,False
46510,Prospect (C),Persons,2026,22310,False
46510,Prospect (C),Persons,2031,23021,False
46510,Prospect (C),Persons,2036,23650,False
46670,Renmark Paringa (DC),Persons,2016,9780,False
46670,Renmark Paringa (DC),Persons,2021,9911,False
46670,Renmark Paringa (DC),Persons,2026,10059,False
46670,Renmark Paringa (DC),Persons,2031,10163,False
46670,Renmark Paringa (DC),Persons,2036,10189,False
46860,Robe (DC),Persons,2016,1390,False
46860,Robe (DC),Persons,2021,1424,False
