region_code,sa2_code,sa2_name,sex,year,population,is_total_row
IM,41001,Adelaide,Persons,2016,16285,False
IM,41001,Adelaide,Persons,2021,20354,False
IM,41001,Adelaide,Persons,2026,22882,False
IM,41001,Adelaide,Persons,2031,25849,False
IM,41001,Adelaide,Persons,2036,29148,False
IM,41002,North Adelaide,Persons,2016,7267,False
IM,41002,North Adelaide,Persons,2021,7264,False
IM,41002,North Adelaide,Persons,2026,7489,False
IM,41002,North Adelaide,Persons,2031,7756,False
IM,41002,North Adelaide,Persons,2036,7968,False
IM,41011,Burnside - Wattle Park,Persons,2016,19125,False
IM,41011,Burnside - Wattle Park,Persons,2021,19148,False
IM,41011,Burnside - Wattle Park,Persons,2026,19220,False
IM,41011,Burnside - Wattle Park,Persons,2031,19419,False
IM,41011,Burnside - Wattle Park,Persons,2036,19659,False
IM,41012,Glenside - Beaumont,Persons,2016,9862,False
IM,41012,Glenside - Beaumont,Persons,2021,9957,False
IM,41012,Glenside - Beaumont,Persons,2026,10014,False
IM,41012,Glenside - Beaumont,Persons,2031,10143,False
IM,41012,Glenside - Beaumont,Persons,2036,10283,False
IM,41013,Toorak Gardens,Persons,2016,16229,False
IM,41013,Toorak Gardens,Persons,2021,16527,False
IM,41013,Toorak Gardens,Persons,2026,17546,False
IM,41013,Toorak Gardens,Persons,2031,17926,False
IM,41013,Toorak Gardens,Persons,2036,18117,False
IM,41014,Athelstone,Persons,2016,9326,False
IM,41014,Athelstone,Persons,2021,9469,False
IM,41014,Athelstone,Persons,2026,9672,False
IM,41014,Athelstone,Persons,2031,9921,False
IM,41014,Athelstone,Persons,2036,10176,False
IM,41015,Paradise - Newton,Persons,2016,20034,False
IM,41015,Paradise - Newton,Persons,2021,20900,False
IM,41015,Paradise - Newton,Persons,2026,21845,False
IM,41015,Paradise - Newton,Persons,2031,22679,False
IM,41015,Paradise - Newton,Persons,2036,23344,False
IM,41016,Rostrevor - Magill,Persons,2016,22085,False
IM,41016,Rostrevor - Magill,Persons,2021,23072,False
IM,41016,Rostrevor - Magill,Persons,2026,23888,False
IM,41016,Rostrevor - Magill,Persons,2031,24671,False
IM,41016,Rostrevor - Magill,Persons,2036,25334,False
IM,41017,Norwood (SA),Persons,2016,10397,False
IM,41017,Norwood (SA),Persons,2021,11055,False
IM,41017,Norwood (SA),Persons,2026,11727,False
IM,41017,Norwood (SA),Persons,2031,12342,False
IM,41017,Norwood (SA),Persons,2036,12826,False
IM,41018,Payneham - Felixstow,Persons,2016,12632,False
IM,41018,Payneham - Felixstow,Persons,2021,12692,False
IM,41018,Payneham - Felixstow,Persons,2026,12906,False
IM,41018,Payneham - Felixstow,Persons,2031,13136,False
IM,41018,Payneham - Felixstow,Persons,2036,13341,False
IM,41019,St Peters - Marden,Persons,2016,13367,False
IM,41019,St Peters - Marden,Persons,2021,13403,False
IM,41019,St Peters - Marden,Persons,2026,13618,False
IM,41019,St Peters - Marden,Persons,2031,13756,False
IM,41019,St Peters - Marden,Persons,2036,13895,False
IM,41020,Nailsworth - Broadview,Persons,2016,6277,False
IM,41020,Nailsworth - Broadview,Persons,2021,6209,False
IM,41020,Nailsworth - Broadview,Persons,2026,6336,False
IM,41020,Nailsworth - Broadview,Persons,2031,6474,False
IM,41020,Nailsworth - Broadview,Persons,2036,6587,False
IM,41021,Prospect,Persons,2016,14847,False
IM,41021,Prospect,Persons,2021,15312,False
IM,41021,Prospect,Persons,2026,15973,False
IM,41021,Prospect,Persons,2031,16547,False
IM,41021,Prospect,Persons,2036,17063,False
IM,41022,Walkerville,Persons,2016,7781,False
IM,41022,Walkerville,Persons,2021,7969,False
IM,41022,Walkerville,Persons,2026,8225,False
IM,41022,Walkerville,Persons,2031,8439,False
IM,41022,Walkerville,Persons,2036,8622,False
IM,41023,Goodwood - Millswood,Persons,2016,18104,False
IM,41023,Goodwood - Millswood,Persons,2021,18003,False
IM,41023,Goodwood - Millswood,Persons,2026,18176,False
IM,41023,Goodwood - Millswood,Persons,2031,18563,False
IM,41023,Goodwood - Millswood,Persons,2036,18965,False
IM,41024,Unley - Parkside,Persons,2016,20835,False
IM,41024,Unley - Parkside,Persons,2021,20789,False
IM,41024,Unley - Parkside,Persons,2026,21064,False
IM,41024,Unley - Parkside,Persons,2031,21514,False
IM,41024,Unley - Parkside,Persons,2036,21967,False
IM,,TOTAL Inner Metro,Persons,2016,224453,True
IM,,TOTAL Inner Metro,Persons,2021,232122,True
IM,,TOTAL Inner Metro,Persons,2026,240582,True
IM,,TOTAL Inner Metro,Persons,2031,249134,True
IM,,TOTAL Inner Metro,Persons,2036,257296,True
AIN,41036,Enfield - Blair Athol,Persons,2016,23761,False
AIN,41036,Enfield - Blair Athol,Persons,2021,25241,False
AIN,41036,Enfield - Blair Athol,Persons,2026,26914,False
AIN,41036,Enfield - Blair Athol,Persons,2031,28358,False
AIN,41036,Enfield - Blair Athol,Persons,2036,29400,False
AIN,41037,Northgate - Oakden - Gilles Plains,Persons,2016,25130,False
AIN,41037,Northgate - Oakden - Gilles Plains,Persons,2021,28013,False
AIN,41037,Northgate - Oakden - Gilles Plains,Persons,2026,30559,False
AIN,41037,Northgate - Oakden - Gilles Plains,Persons,2031,32888,False
AIN,41037,Northgate - Oakden - Gilles Plains,Persons,2036,34801,False
AIN,41038,Windsor Gardens,Persons,2016,20696,False
AIN,41038,Windsor Gardens,Persons,2021,21825,False
AIN,41038,Windsor Gardens,Persons,2026,23422,False
AIN,41038,Windsor Gardens,Persons,2031,24651,False
AIN,41038,Windsor Gardens,Persons,2036,25525,False
AIN,41040,Ingle Farm,Persons,2016,15135,False
AIN,41040,Ingle Farm,Persons,2021,15287,False
AIN,41040,Ingle Farm,Persons,2026,15861,False
AIN,41040,Ingle Farm,Persons,2031,16360,False
AIN,41040,Ingle Farm,Persons,2036,16758,False
AIN,41041,Para Hills,Persons,2016,14853,False
AIN,41041,Para Hills,Persons,2021,15163,False
AIN,41041,Para Hills,Persons,2026,15694,False
AIN,41041,Para Hills,Persons,2031,16147,False
AIN,41041,Para Hills,Persons,2036,16532,False
AIN,41044,Paralowie,Persons,2016,16989,False
AIN,41044,Paralowie,Persons,2021,17905,False
AIN,41044,Paralowie,Persons,2026,18267,False
AIN,41044,Paralowie,Persons,2031,18566,False
AIN,41044,Paralowie,Persons,2036,18891,False
AIN,41046,Salisbury,Persons,2016,17811,False
AIN,41046,Salisbury,Persons,2021,18408,False
AIN,41046,Salisbury,Persons,2026,19115,False
AIN,41046,Salisbury,Persons,2031,19692,False
AIN,41046,Salisbury,Persons,2036,20134,False
AIN,41047,Salisbury East,Persons,2016,17731,False
AIN,41047,Salisbury East,Persons,2021,18070,False
AIN,41047,Salisbury East,Persons,2026,18570,False
AIN,41047,Salisbury East,Persons,2031,18963,False
AIN,41047,Salisbury East,Persons,2036,19306,False
AIN,41048,Salisbury North,Persons,2016,17512,False
AIN,41048,Salisbury North,Persons,2021,18199,False
AIN,41048,Salisbury North,Persons,2026,18700,False
AIN,41048,Salisbury North,Persons,2031,19108,False
AIN,41048,Salisbury North,Persons,2036,19464,False
AIN,41049,Golden Grove,Persons,2016,10459,False
AIN,41049,Golden Grove,Persons,2021,10545,False
AIN,41049,Golden Grove,Persons,2026,10795,False
AIN,41049,Golden Grove,Persons,2031,10969,False
AIN,41049,Golden Grove,Persons,2036,11114,False
AIN,41050,Greenwith,Persons,2016,9127,False
AIN,41050,Greenwith,Persons,2021,9070,False
AIN,41050,Greenwith,Persons,2026,9209,False
AIN,41050,Greenwith,Persons,2031,9316,False
AIN,41050,Greenwith,Persons,2036,9416,False
AIN,41051,Highbury - Dernancourt,Persons,2016,10648,False
AIN,41051,Highbury - Dernancourt,Persons,2021,10971,False
AIN,41051,Highbury - Dernancourt,Persons,2026,11465,False
AIN,41051,Highbury - Dernancourt,Persons,2031,11907,False
AIN,41051,Highbury - Dernancourt,Persons,2036,12250,False
AIN,41052,Hope Valley - Modbury,Persons,2016,16710,False
AIN,41052,Hope Valley - Modbury,Persons,2021,17341,False
AIN,41052,Hope Valley - Modbury,Persons,2026,18301,False
AIN,41052,Hope Valley - Modbury,Persons,2031,19067,False
AIN,41052,Hope Valley - Modbury,Persons,2036,19646,False
AIN,41053,Modbury Heights,Persons,2016,19205,False
AIN,41053,Modbury Heights,Persons,2021,19349,False
AIN,41053,Modbury Heights,Persons,2026,19777,False
AIN,41053,Modbury Heights,Persons,2031,20082,False
AIN,41053,Modbury Heights,Persons,2036,20341,False
AIN,41054,Redwood Park,Persons,2016,16212,False
AIN,41054,Redwood Park,Persons,2021,16498,False
AIN,41054,Redwood Park,Persons,2026,16985,False
AIN,41054,Redwood Park,Persons,2031,17356,False
AIN,41054,Redwood Park,Persons,2036,17663,False
AIN,41055,St Agnes - Ridgehaven,Persons,2016,12572,False
AIN,41055,St Agnes - Ridgehaven,Persons,2021,13158,False
AIN,41055,St Agnes - Ridgehaven,Persons,2026,13916,False
AIN,41055,St Agnes - Ridgehaven,Persons,2031,14548,False
AIN,41055,St Agnes - Ridgehaven,Persons,2036,15066,False
AIN,41171,Mawson Lakes - Globe Derby Park,Persons,2016,13650,False
AIN,41171,Mawson Lakes - Globe Derby Park,Persons,2021,14325,False
AIN,41171,Mawson Lakes - Globe Derby Park,Persons,2026,14833,False
AIN,41171,Mawson Lakes - Globe Derby Park,Persons,2031,15030,False
AIN,41171,Mawson Lakes - Globe Derby Park,Persons,2036,15186,False
AIN,41172,Pooraka - Cavan,Persons,2016,7863,False
AIN,41172,Pooraka - Cavan,Persons,2021,8075,False
AIN,41172,Pooraka - Cavan,Persons,2026,8365,False
AIN,41172,Pooraka - Cavan,Persons,2031,8579,False
AIN,41172,Pooraka - Cavan,Persons,2036,8750,False
AIN,48004,Parafield Gardens - Parafield,Persons,2016,17421,False
AIN,48004,Parafield Gardens - Parafield,Persons,2021,17923,False
AIN,48004,Parafield Gardens - Parafield,Persons,2026,18439,False
AIN,48004,Parafield Gardens - Parafield,Persons,2031,18863,False
AIN,48004,Parafield Gardens - Parafield,Persons,2036,19251,False
AIN,,SUBTOTAL Adelaide - Inner North,Persons,2016,303485,True
AIN,,SUBTOTAL Adelaide - Inner North,Persons,2021,315367,True
AIN,,SUBTOTAL Adelaide - Inner North,Persons,2026,329188,True
AIN,,SUBTOTAL Adelaide - Inner North,Persons,2031,340452,True
AIN,,SUBTOTAL Adelaide - Inner North,Persons,2036,349495,True
AON,41025,Gawler - North,Persons,2016,9343,False
AON,41025,Gawler - North,Persons,2021,9733,False
AON,41025,Gawler - North,Persons,2026,10423,False
AON,41025,Gawler - North,Persons,2031,11183,False
AON,41025,Gawler - North,Persons,2036,11971,False
AON,41026,Gawler - South,Persons,2016,20062,False
AON,41026,Gawler - South,Persons,2021,23563,False
AON,41026,Gawler - South,Persons,2026,26768,False
AON,41026,Gawler - South,Persons,2031,30323,False
AON,41026,Gawler - South,Persons,2036,33978,False
AON,41027,Lewiston - Two Wells,Persons,2016,5686,False
AON,41027,Lewiston - Two Wells,Persons,2021,6102,False
AON,41027,Lewiston - Two Wells,Persons,2026,6212,False
AON,41027,Lewiston - Two Wells,Persons,2031,6281,False
AON,41027,Lewiston - Two Wells,Persons,2036,6378,False
AON,41028,Craigmore - Blakeview,Persons,2016,18365,False
AON,41028,Craigmore - Blakeview,Persons,2021,20789,False
AON,41028,Craigmore - Blakeview,Persons,2026,23364,False
AON,41028,Craigmore - Blakeview,Persons,2031,26131,False
AON,41028,Craigmore - Blakeview,Persons,2036,29204,False
AON,41029,Davoren Park,Persons,2016,17966,False
AON,41029,Davoren Park,Persons,2021,18382,False
AON,41029,Davoren Park,Persons,2026,19096,False
AON,41029,Davoren Park,Persons,2031,19559,False
AON,41029,Davoren Park,Persons,2036,19946,False
AON,41030,Elizabeth,Persons,2016,10463,False
AON,41030,Elizabeth,Persons,2021,10612,False
AON,41030,Elizabeth,Persons,2026,10972,False
AON,41030,Elizabeth,Persons,2031,11250,False
AON,41030,Elizabeth,Persons,2036,11449,False
AON,41031,Elizabeth East,Persons,2016,13066,False
AON,41031,Elizabeth East,Persons,2021,13625,False
AON,41031,Elizabeth East,Persons,2026,14177,False
AON,41031,Elizabeth East,Persons,2031,14588,False
AON,41031,Elizabeth East,Persons,2036,14913,False
AON,41032,Munno Para West - Angle Vale,Persons,2016,12336,False
AON,41032,Munno Para West - Angle Vale,Persons,2021,16784,False
AON,41032,Munno Para West - Angle Vale,Persons,2026,20551,False
AON,41032,Munno Para West - Angle Vale,Persons,2031,25142,False
AON,41032,Munno Para West - Angle Vale,Persons,2036,29829,False
AON,41033,One Tree Hill,Persons,2016,2537,False
AON,41033,One Tree Hill,Persons,2021,2617,False
AON,41033,One Tree Hill,Persons,2026,2667,False
AON,41033,One Tree Hill,Persons,2031,2700,False
AON,41033,One Tree Hill,Persons,2036,2734,False
AON,41034,Smithfield - Elizabeth North,Persons,2016,12337,False
AON,41034,Smithfield - Elizabeth North,Persons,2021,12675,False
AON,41034,Smithfield - Elizabeth North,Persons,2026,13115,False
AON,41034,Smithfield - Elizabeth North,Persons,2031,13482,False
AON,41034,Smithfield - Elizabeth North,Persons,2036,13799,False
AON,48006,Virginia - Waterloo Corner - Dry Creek North,Persons,2016,4278,False
AON,48006,Virginia - Waterloo Corner - Dry Creek North,Persons,2021,5699,False
AON,48006,Virginia - Waterloo Corner - Dry Creek North,Persons,2026,6582,False
AON,48006,Virginia - Waterloo Corner - Dry Creek North,Persons,2031,7684,False
AON,48006,Virginia - Waterloo Corner - Dry Creek North,Persons,2036,9107,False
AON,,SUBTOTAL Adelaide - Outer North,Persons,2016,126439,True
AON,,SUBTOTAL Adelaide - Outer North,Persons,2021,140580,True
AON,,SUBTOTAL Adelaide - Outer North,Persons,2026,153927,True
AON,,SUBTOTAL Adelaide - Outer North,Persons,2031,168324,True
AON,,SUBTOTAL Adelaide - Outer North,Persons,2036,183308,True
AN,,TOTAL Adelaide - North,Persons,2016,429924,True
AN,,TOTAL Adelaide - North,Persons,2021,455947,True
AN,,TOTAL Adelaide - North,Persons,2026,483114,True
AN,,TOTAL Adelaide - North,Persons,2031,508775,True
AN,,TOTAL Adelaide - North,Persons,2036,532802,True
AIS,41056,Brighton (SA),Persons,2016,14202,False
AIS,41056,Brighton (SA),Persons,2021,14491,False
AIS,41056,Brighton (SA),Persons,2026,14759,False
AIS,41056,Brighton (SA),Persons,2031,15046,False
AIS,41056,Brighton (SA),Persons,2036,15260,False
AIS,41057,Glenelg (SA),Persons,2016,20632,False
AIS,41057,Glenelg (SA),Persons,2021,20956,False
AIS,41057,Glenelg (SA),Persons,2026,21292,False
AIS,41057,Glenelg (SA),Persons,2031,21753,False
AIS,41057,Glenelg (SA),Persons,2036,22076,False
AIS,41058,Edwardstown,Persons,2016,13862,False
AIS,41058,Edwardstown,Persons,2021,14281,False
AIS,41058,Edwardstown,Persons,2026,14908,False
AIS,41058,Edwardstown,Persons,2031,15433,False
AIS,41058,Edwardstown,Persons,2036,15826,False
AIS,41059,Hallett Cove,Persons,2016,12734,False
AIS,41059,Hallett Cove,Persons,2021,12860,False
AIS,41059,Hallett Cove,Persons,2026,12904,False
AIS,41059,Hallett Cove,Persons,2031,13027,False
AIS,41059,Hallett Cove,Persons,2036,13216,False
AIS,41060,Marino - Seaview Downs,Persons,2016,9535,False
AIS,41060,Marino - Seaview Downs,Persons,2021,9755,False
AIS,41060,Marino - Seaview Downs,Persons,2026,10358,False
AIS,41060,Marino - Seaview Downs,Persons,2031,11091,False
AIS,41060,Marino - Seaview Downs,Persons,2036,11234,False
AIS,41061,Mitchell Park,Persons,2016,15405,False
AIS,41061,Mitchell Park,Persons,2021,16559,False
AIS,41061,Mitchell Park,Persons,2026,17840,False
AIS,41061,Mitchell Park,Persons,2031,19241,False
AIS,41061,Mitchell Park,Persons,2036,19828,False
AIS,41062,Morphettville,Persons,2016,14982,False
AIS,41062,Morphettville,Persons,2021,16157,False
AIS,41062,Morphettville,Persons,2026,17088,False
AIS,41062,Morphettville,Persons,2031,17879,False
AIS,41062,Morphettville,Persons,2036,18426,False
AIS,41063,Sheidow Park - Trott Park,Persons,2016,10306,False
AIS,41063,Sheidow Park - Trott Park,Persons,2021,10730,False
AIS,41063,Sheidow Park - Trott Park,Persons,2026,11186,False
AIS,41063,Sheidow Park - Trott Park,Persons,2031,11559,False
