lga_code,lga_name,sex,age_group,year,population,is_total_row
40070,Adelaide (C),Persons,0-4,2016,584,False
40070,Adelaide (C),Persons,5-9,2016,436,False
40070,Adelaide (C),Persons,10-14,2016,354,False
40070,Adelaide (C),Persons,15-19,2016,1755,False
40070,Adelaide (C),Persons,20-24,2016,4958,False
40070,Adelaide (C),Persons,25-29,2016,3266,False
40070,Adelaide (C),Persons,30-34,2016,2258,False
40070,Adelaide (C),Persons,35-39,2016,1385,False
40070,Adelaide (C),Persons,40-44,2016,1094,False
40070,Adelaide (C),Persons,45-49,2016,1069,False
40070,Adelaide (C),Persons,50-54,2016,1195,False
40070,Adelaide (C),Persons,55-59,2016,1090,False
40070,Adelaide (C),Persons,60-64,2016,1071,False
40070,Adelaide (C),Persons,65-69,2016,1139,False
40070,Adelaide (C),Persons,70-74,2016,733,False
40070,Adelaide (C),Persons,75-79,2016,498,False
40070,Adelaide (C),Persons,80-84,2016,267,False
40070,Adelaide (C),Persons,85-89,2016,243,False
40070,Adelaide (C),Persons,90+,2016,157,False
40120,Adelaide Hills (DC),Persons,0-4,2016,2073,False
40120,Adelaide Hills (DC),Persons,5-9,2016,2646,False
40120,Adelaide Hills (DC),Persons,10-14,2016,2794,False
40120,Adelaide Hills (DC),Persons,15-19,2016,2740,False
40120,Adelaide Hills (DC),Persons,20-24,2016,2101,False
40120,Adelaide Hills (DC),Persons,25-29,2016,1584,False
40120,Adelaide Hills (DC),Persons,30-34,2016,1738,False
40120,Adelaide Hills (DC),Persons,35-39,2016,2121,False
40120,Adelaide Hills (DC),Persons,40-44,2016,2820,False
40120,Adelaide Hills (DC),Persons,45-49,2016,3195,False
40120,Adelaide Hills (DC),Persons,50-54,2016,3115,False
40120,Adelaide Hills (DC),Persons,55-59,2016,3135,False
40120,Adelaide Hills (DC),Persons,60-64,2016,2838,False
40120,Adelaide Hills (DC),Persons,65-69,2016,2635,False
40120,Adelaide Hills (DC),Persons,70-74,2016,1733,False
40120,Adelaide Hills (DC),Persons,75-79,2016,1037,False
40120,Adelaide Hills (DC),Persons,80-84,2016,673,False
40120,Adelaide Hills (DC),Persons,85-89,2016,416,False
40120,Adelaide Hills (DC),Persons,90+,2016,247,False
40150,Adelaide Plains (DC),Persons,0-4,2016,516,False
40150,Adelaide Plains (DC),Persons,5-9,2016,618,False
40150,Adelaide Plains (DC),Persons,10-14,2016,624,False
40150,Adelaide Plains (DC),Persons,15-19,2016,599,False
40150,Adelaide Plains (DC),Persons,20-24,2016,537,False
40150,Adelaide Plains (DC),Persons,25-29,2016,441,False
40150,Adelaide Plains (DC),Persons,30-34,2016,504,False
40150,Adelaide Plains (DC),Persons,35-39,2016,490,False
40150,Adelaide Plains (DC),Persons,40-44,2016,657,False
40150,Adelaide Plains (DC),Persons,45-49,2016,777,False
40150,Adelaide Plains (DC),Persons,50-54,2016,780,False
40150,Adelaide Plains (DC),Persons,55-59,2016,679,False
40150,Adelaide Plains (DC),Persons,60-64,2016,537,False
40150,Adelaide Plains (DC),Persons,65-69,2016,498,False
40150,Adelaide Plains (DC),Persons,70-74,2016,310,False
40150,Adelaide Plains (DC),Persons,75-79,2016,175,False
40150,Adelaide Plains (DC),Persons,80-84,2016,94,False
40150,Adelaide Plains (DC),Persons,85-89,2016,48,False
40150,Adelaide Plains (DC),Persons,90+,2016,28,False
40220,Alexandrina (DC),Persons,0-4,2016,1230,False
40220,Alexandrina (DC),Persons,5-9,2016,1482,False
40220,Alexandrina (DC),Persons,10-14,2016,1537,False
40220,Alexandrina (DC),Persons,15-19,2016,1359,False
40220,Alexandrina (DC),Persons,20-24,2016,1115,False
40220,Alexandrina (DC),Persons,25-29,2016,1090,False
40220,Alexandrina (DC),Persons,30-34,2016,1083,False
40220,Alexandrina (DC),Persons,35-39,2016,1188,False
40220,Alexandrina (DC),Persons,40-44,2016,1554,False
40220,Alexandrina (DC),Persons,45-49,2016,1630,False
40220,Alexandrina (DC),Persons,50-54,2016,1790,False
40220,Alexandrina (DC),Persons,55-59,2016,2014,False
40220,Alexandrina (DC),Persons,60-64,2016,2093,False
40220,Alexandrina (DC),Persons,65-69,2016,2394,False
40220,Alexandrina (DC),Persons,70-74,2016,1931,False
40220,Alexandrina (DC),Persons,75-79,2016,1392,False
40220,Alexandrina (DC),Persons,80-84,2016,843,False
40220,Alexandrina (DC),Persons,85-89,2016,555,False
40220,Alexandrina (DC),Persons,90+,2016,277,False
40250,Anangu Pitjantjatjara (AC),Persons,0-4,2016,220,False
40250,Anangu Pitjantjatjara (AC),Persons,5-9,2016,209,False
40250,Anangu Pitjantjatjara (AC),Persons,10-14,2016,189,False
40250,Anangu Pitjantjatjara (AC),Persons,15-19,2016,218,False
40250,Anangu Pitjantjatjara (AC),Persons,20-24,2016,287,False
40250,Anangu Pitjantjatjara (AC),Persons,25-29,2016,259,False
40250,Anangu Pitjantjatjara (AC),Persons,30-34,2016,204,False
40250,Anangu Pitjantjatjara (AC),Persons,35-39,2016,178,False
40250,Anangu Pitjantjatjara (AC),Persons,40-44,2016,161,False
40250,Anangu Pitjantjatjara (AC),Persons,45-49,2016,170,False
40250,Anangu Pitjantjatjara (AC),Persons,50-54,2016,117,False
40250,Anangu Pitjantjatjara (AC),Persons,55-59,2016,83,False
40250,Anangu Pitjantjatjara (AC),Persons,60-64,2016,91,False
40250,Anangu Pitjantjatjara (AC),Persons,65-69,2016,52,False
40250,Anangu Pitjantjatjara (AC),Persons,70-74,2016,26,False
40250,Anangu Pitjantjatjara (AC),Persons,75-79,2016,17,False
40250,Anangu Pitjantjatjara (AC),Persons,80-84,2016,6,False
40250,Anangu Pitjantjatjara (AC),Persons,85-89,2016,7,False
40250,Anangu Pitjantjatjara (AC),Persons,90+,2016,4,False
40310,Barossa (DC),Persons,0-4,2016,1374,False
40310,Barossa (DC),Persons,5-9,2016,1650,False
40310,Barossa (DC),Persons,10-14,2016,1575,False
40310,Barossa (DC),Persons,15-19,2016,1537,False
40310,Barossa (DC),Persons,20-24,2016,1143,False
40310,Barossa (DC),Persons,25-29,2016,1120,False
40310,Barossa (DC),Persons,30-34,2016,1328,False
40310,Barossa (DC),Persons,35-39,2016,1400,False
40310,Barossa (DC),Persons,40-44,2016,1641,False
40310,Barossa (DC),Persons,45-49,2016,1736,False
40310,Barossa (DC),Persons,50-54,2016,1669,False
40310,Barossa (DC),Persons,55-59,2016,1772,False
40310,Barossa (DC),Persons,60-64,2016,1659,False
40310,Barossa (DC),Persons,65-69,2016,1510,False
40310,Barossa (DC),Persons,70-74,2016,1134,False
40310,Barossa (DC),Persons,75-79,2016,764,False
40310,Barossa (DC),Persons,80-84,2016,582,False
40310,Barossa (DC),Persons,85-89,2016,378,False
40310,Barossa (DC),Persons,90+,2016,237,False
40430,Barunga West (DC),Persons,0-4,2016,169,False
40430,Barunga West (DC),Persons,5-9,2016,157,False
40430,Barunga West (DC),Persons,10-14,2016,159,False
40430,Barunga West (DC),Persons,15-19,2016,143,False
40430,Barunga West (DC),Persons,20-24,2016,114,False
40430,Barunga West (DC),Persons,25-29,2016,131,False
40430,Barunga West (DC),Persons,30-34,2016,122,False
40430,Barunga West (DC),Persons,35-39,2016,122,False
40430,Barunga West (DC),Persons,40-44,2016,154,False
40430,Barunga West (DC),Persons,45-49,2016,168,False
40430,Barunga West (DC),Persons,50-54,2016,189,False
40430,Barunga West (DC),Persons,55-59,2016,187,False
40430,Barunga West (DC),Persons,60-64,2016,206,False
40430,Barunga West (DC),Persons,65-69,2016,190,False
40430,Barunga West (DC),Persons,70-74,2016,149,False
40430,Barunga West (DC),Persons,75-79,2016,89,False
40430,Barunga West (DC),Persons,80-84,2016,78,False
40430,Barunga West (DC),Persons,85-89,2016,51,False
40430,Barunga West (DC),Persons,90+,2016,32,False
40520,Berri and Barmera (DC),Persons,0-4,2016,596,False
40520,Berri and Barmera (DC),Persons,5-9,2016,702,False
40520,Berri and Barmera (DC),Persons,10-14,2016,701,False
40520,Berri and Barmera (DC),Persons,15-19,2016,664,False
40520,Berri and Barmera (DC),Persons,20-24,2016,541,False
40520,Berri and Barmera (DC),Persons,25-29,2016,548,False
40520,Berri and Barmera (DC),Persons,30-34,2016,586,False
40520,Berri and Barmera (DC),Persons,35-39,2016,551,False
40520,Berri and Barmera (DC),Persons,40-44,2016,641,False
40520,Berri and Barmera (DC),Persons,45-49,2016,721,False
40520,Berri and Barmera (DC),Persons,50-54,2016,751,False
40520,Berri and Barmera (DC),Persons,55-59,2016,814,False
40520,Berri and Barmera (DC),Persons,60-64,2016,769,False
40520,Berri and Barmera (DC),Persons,65-69,2016,742,False
40520,Berri and Barmera (DC),Persons,70-74,2016,488,False
40520,Berri and Barmera (DC),Persons,75-79,2016,389,False
40520,Berri and Barmera (DC),Persons,80-84,2016,308,False
40520,Berri and Barmera (DC),Persons,85-89,2016,199,False
40520,Berri and Barmera (DC),Persons,90+,2016,126,False
40700,Burnside (C),Persons,0-4,2016,2095,False
40700,Burnside (C),Persons,5-9,2016,2621,False
40700,Burnside (C),Persons,10-14,2016,3060,False
40700,Burnside (C),Persons,15-19,2016,3217,False
40700,Burnside (C),Persons,20-24,2016,2813,False
40700,Burnside (C),Persons,25-29,2016,2276,False
40700,Burnside (C),Persons,30-34,2016,2071,False
40700,Burnside (C),Persons,35-39,2016,2505,False
40700,Burnside (C),Persons,40-44,2016,2987,False
