community_name,epbc_status,listed_community_id,act,nsw,nt,qld,sa,tas,vic,wa,sprat_profile_url,date_extracted
Assemblages of species associated with open-coast salt-wedge estuaries of western and central Victoria ecological community,Endangered,132,-,-,-,-,Yes,-,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=132,2026-03-20
Buloke Woodlands of the Riverina and Murray-Darling Depression Bioregions,Endangered,3,-,Yes,-,-,Yes,-,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=3,2026-03-20
Drooping sheoak grassy woodland on calcrete of the Eyre Yorke Block Bioregion,Critically Endangered,172,-,-,-,-,Yes,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=172,2026-03-20
Eyre Peninsula Blue Gum (Eucalyptus petiolaris) Woodland,Endangered,124,-,-,-,-,Yes,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=124,2026-03-20
Giant Kelp Marine Forests of South East Australia,Endangered,107,-,-,-,-,Yes,Yes,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=107,2026-03-20
Grey Box (Eucalyptus microcarpa) Grassy Woodlands and Derived Native Grasslands of South-eastern Australia,Endangered,86,-,Yes,-,-,Yes,-,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=86,2026-03-20
Iron-grass Natural Temperate Grassland of South Australia,Critically Endangered,37,-,-,-,-,Yes,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=37,2026-03-20
Kangaroo Island Narrow-leaved Mallee (Eucalyptus cneorifolia) Woodland,Critically Endangered,102,-,-,-,-,Yes,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=102,2026-03-20
Karst springs and associated alkaline fens of the Naracoorte Coastal Plain Bioregion,Endangered,149,-,-,-,-,Yes,-,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=149,2026-03-20
Mallee Bird Community of the Murray Darling Depression Bioregion,Endangered,151,-,Yes,-,-,Yes,-,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=151,2026-03-20
Peppermint Box (Eucalyptus odorata) Grassy Woodland of South Australia,Critically Endangered,36,-,-,-,-,Yes,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=36,2026-03-20
"Plains mallee box woodlands of the Murray Darling Depression, Riverina and Naracoorte Coastal Plain Bioregions",Critically Endangered,150,-,Yes,-,-,Yes,-,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=150,2026-03-20
"River Murray downstream of the Darling River, and associated aquatic and floodplain systems",Critically Endangered,92,-,Yes,-,-,Yes,-,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=92,2026-03-20
Seasonal Herbaceous Wetlands (Freshwater) of the Temperate Lowland Plains,Critically Endangered,97,-,Yes,-,-,Yes,-,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=97,2026-03-20
Subtropical and Temperate Coastal Saltmarsh,Vulnerable,118,-,Yes,-,Yes,Yes,Yes,Yes,Yes,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=118,2026-03-20
Swamps of the Fleurieu Peninsula,Critically Endangered,31,-,-,-,-,Yes,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=31,2026-03-20
The community of native species dependent on natural discharge of groundwater from the Great Artesian Basin,Endangered,26,-,Yes,Yes,Yes,Yes,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=26,2026-03-20
White Box-Yellow Box-Blakely's Red Gum Grassy Woodland and Derived Native Grassland,Critically Endangered,43,Yes,Yes,-,Yes,Yes,-,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=43,2026-03-20
