scientific_name,common_name,current_scientific_name,threatened_status,act,nsw,nt,qld,sa,tas,vic,wa,aci_ashmore_cartier_islands,cki_cocos_keeling_islands,ci_christmas_island,csi_coral_sea_islands,jbt_jervis_bay_territory,nfi_norfolk_island,hmi_heard_mcdonald_islands,aat_australian_antarctic_territory,cma_commonwealth_marine_area,listed_sprat_taxon_id,current_sprat_taxon_id,kingdom,class,sprat_profile_url,date_extracted,nsl_name_url,family,genus,species,infraspecific_rank,infraspecies,species_author,infraspecies_author
Acacia araneosa,"Spidery Wattle, Balcanoona Wattle",-,Vulnerable,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,20767,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=20767,2026-02-06,https://id.biodiversity.org.au/name/apni/58598,Fabaceae,Acacia,araneosa,-,-,Whibley,-
Acacia carneorum,"Needle Wattle, Dead Finish, Purple-wood Wattle",-,Vulnerable,-,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,66685,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66685,2026-02-06,https://id.biodiversity.org.au/name/apni/164737,Fabaceae,Acacia,carneorum,-,-,Maiden,-
Acacia cretacea,Chalky Wattle,-,Endangered,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,10689,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10689,2026-02-06,https://id.biodiversity.org.au/name/apni/60982,Fabaceae,Acacia,cretacea,-,-,Maslin  Whibley,-
Acacia enterocarpa,Jumping-jack Wattle,-,Endangered,-,-,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,17615,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=17615,2026-02-06,https://id.biodiversity.org.au/name/apni/62586,Fabaceae,Acacia,enterocarpa,-,-,R.V.Sm.,-
Acacia glandulicarpa,Hairy-pod Wattle,-,Vulnerable,-,-,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,8838,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8838,2026-02-06,https://id.biodiversity.org.au/name/apni/63594,Fabaceae,Acacia,glandulicarpa,-,-,Reader,-
Acacia latzii,Latz's Wattle,-,Vulnerable,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,14275,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=14275,2026-02-06,https://id.biodiversity.org.au/name/apni/65314,Fabaceae,Acacia,latzii,-,-,Maslin,-
Acacia menzelii,Menzel's Wattle,-,Vulnerable,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,9218,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9218,2026-02-06,https://id.biodiversity.org.au/name/apni/66714,Fabaceae,Acacia,menzelii,-,-,J.Black,-
Acacia peuce,"Waddy, Waddi, Waddy-wood, Birdsville Wattle",-,Vulnerable,-,-,Yes,Yes,Yes,-,-,-,-,-,-,-,-,-,-,-,-,8301,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8301,2026-02-06,https://id.biodiversity.org.au/name/apni/68505,Fabaceae,Acacia,peuce,-,-,F.Muell.,-
Acacia pickardii,Birds Nest Wattle,-,Vulnerable,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,17259,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=17259,2026-02-06,https://id.biodiversity.org.au/name/apni/68588,Fabaceae,Acacia,pickardii,-,-,Tindale,-
Acacia pinguifolia,"Fat-leaved Wattle,  Fat-leaf Wattle",-,Endangered,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,5319,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=5319,2026-02-06,https://id.biodiversity.org.au/name/apni/68635,Fabaceae,Acacia,pinguifolia,-,-,J.M.Black,-
Acacia praemorsa,Senna Wattle,-,Vulnerable,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,55363,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55363,2026-02-06,https://id.biodiversity.org.au/name/apni/117775,Fabaceae,Acacia,praemorsa,-,-,P.J.Lang  Maslin,-
Acacia rhetinocarpa,"Neat Wattle, Resin Wattle (SA)",-,Vulnerable,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,11282,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=11282,2026-02-06,https://id.biodiversity.org.au/name/apni/69709,Fabaceae,Acacia,rhetinocarpa,-,-,J.Black,-
Acacia spilleriana,Spiller's Wattle,-,Endangered,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,34123,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=34123,2026-02-06,https://id.biodiversity.org.au/name/apni/70603,Fabaceae,Acacia,spilleriana,-,-,J.E.Br.,-
Acacia whibleyana,"Whibley Wattle, Whibley's Wattle",-,Endangered,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,64497,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64497,2026-02-06,https://id.biodiversity.org.au/name/apni/135430,Fabaceae,Acacia,whibleyana,-,-,R.S.Cowan  Maslin,-
Acanthiza iredalei rosinae,Slender-billed Thornbill (Gulf St Vincent),-,Vulnerable,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,67080,-,Animalia,Aves,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67080,2026-02-06,-,Pardalotidae,Acanthiza,iredalei,-,rosinae,-,"Mathews, 1913"
