STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2038643,47.24%,-0.07%
VIC,447482,10.37%,-0.12%
QLD,630537,14.61%,-0.09%
SA,546897,12.67%,0.06%
WA,471848,10.93%,-0.26%
TAS,146850,3.40%,-0.10%
NT,8072,0.19%,-0.09%
ACT,25577,0.59%,-0.10%
TOTAL,4315906,100.00%,-0.08%
