STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2077406,47.18%,-0.12%
VIC,462595,10.51%,-0.28%
QLD,639524,14.52%,-0.14%
SA,545632,12.39%,0.02%
WA,489804,11.12%,-0.28%
TAS,151773,3.45%,-0.33%
NT,9705,0.22%,-0.59%
ACT,26509,0.60%,0.20%
TOTAL,4402948,100.00%,-0.15%
