STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,80310,224127,247146,217163,145022,108898,1022666,37.21%
VIC,19278,69168,62316,51634,36468,26358,265222,12.78%
QLD,58083,81729,73062,48760,29776,16967,308377,19.29%
SA,31054,55539,57900,56356,40663,28862,270374,42.55%
WA,8198,50907,63577,56867,39041,28813,247403,30.55%
TAS,1848,14570,18489,18361,12366,10205,75839,38.45%
NT,436,1537,1691,1164,678,221,5727,8.03%
ACT,1168,3730,3617,3147,2238,1375,15275,11.48%
TOTAL,200375,501307,527798,453452,306252,221699,2210883,26.74%
