STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,329899,21.95%,0.39%
VIC,366606,24.40%,0.65%
QLD,312284,20.78%,0.41%
SA,155432,10.34%,0.61%
WA,247734,16.49%,0.64%
TAS,46501,3.09%,0.25%
NT,12022,0.80%,0.64%
ACT,32161,2.14%,0.74%
TOTAL,1502639,100.00%,0.53%
