STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1973846,46.34%,-0.03%
VIC,425127,9.98%,-0.03%
QLD,615498,14.45%,-0.01%
SA,633985,14.88%,0.27%
WA,440139,10.33%,-0.02%
TAS,139464,3.27%,-0.01%
NT,7090,0.17%,-0.10%
ACT,24333,0.57%,0.07%
TOTAL,4259482,100.00%,0.02%
