table,table_title,section,row_group,row_label,column,value
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,"05 Robbery, blackmail, and extortion",3 to under 6 months - (no.),16
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,"05 Robbery, blackmail, and extortion",6 to under 12 months - (no.),42
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,"05 Robbery, blackmail, and extortion",1 year & over - (no.),43
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,"05 Robbery, blackmail, and extortion",No further penalty due to time spent in custody - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,"05 Robbery, blackmail, and extortion",Total - (no.),125
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,"05 Robbery, blackmail, and extortion",Mean - (months),9.7
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,"05 Robbery, blackmail, and extortion",Median - (months),9
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,051 Robbery,Under 3 months - (no.),16
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,051 Robbery,3 to under 6 months - (no.),16
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,051 Robbery,6 to under 12 months - (no.),47
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,051 Robbery,1 year & over - (no.),43
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,051 Robbery,No further penalty due to time spent in custody - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,051 Robbery,Total - (no.),121
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,051 Robbery,Mean - (months),9.7
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,051 Robbery,Median - (months),9
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,Under 3 months - (no.),43
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,3 to under 6 months - (no.),68
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,6 to under 12 months - (no.),124
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,1 year & over - (no.),79
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,No further penalty due to time spent in custody - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,Total - (no.),333
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,Mean - (months),7.9
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,Median - (months),7
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,07 Theft,Under 3 months - (no.),30
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,07 Theft,3 to under 6 months - (no.),29
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,07 Theft,6 to under 12 months - (no.),47
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,07 Theft,1 year & over - (no.),5
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,07 Theft,No further penalty due to time spent in custody - (no.),5
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,07 Theft,Total - (no.),149
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,07 Theft,Mean - (months),5.3
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,07 Theft,Median - (months),5
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,All principal offences,Under 3 months - (no.),186
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,All principal offences,3 to under 6 months - (no.),212
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,All principal offences,6 to under 12 months - (no.),324
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,All principal offences,1 year & over - (no.),225
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,All principal offences,No further penalty due to time spent in custody - (no.),13
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,All principal offences,Total - (no.),1064
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,All principal offences,Mean - (months),7.8
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,All principal offences,Median - (months),6
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,All principal offences (%),Under 3 months - (no.),17.5
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,All principal offences (%),3 to under 6 months - (no.),19.9
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,All principal offences (%),6 to under 12 months - (no.),30.5
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,All principal offences (%),1 year & over - (no.),21.1
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,All principal offences (%),No further penalty due to time spent in custody - (no.),1.2
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,All principal offences (%),Total - (no.),100
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,All principal offences (%),Mean - (months),..
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,All principal offences (%),Median - (months),..
