table,table_title,section,row_group,row_label,column,value
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,06 Burglary,Under 3 months - (no.),6
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,06 Burglary,3 to under 6 months - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,06 Burglary,6 to under 12 months - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,06 Burglary,1 year & over - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,06 Burglary,No further penalty due to time spent in custody - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,06 Burglary,Total - (no.),20
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,06 Burglary,Mean - (months),2.8
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,06 Burglary,Median - (months),2.9
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,07 Theft,Under 3 months - (no.),3
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,07 Theft,3 to under 6 months - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,07 Theft,6 to under 12 months - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,07 Theft,1 year & over - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,07 Theft,No further penalty due to time spent in custody - (no.),5
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,07 Theft,Total - (no.),43
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,07 Theft,Mean - (months),3.2
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,07 Theft,Median - (months),3.4
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,All principal offences,Under 3 months - (no.),21
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,All principal offences,3 to under 6 months - (no.),15
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,All principal offences,6 to under 12 months - (no.),7
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,All principal offences,1 year & over - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,All principal offences,No further penalty due to time spent in custody - (no.),13
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,All principal offences,Total - (no.),158
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,All principal offences,Mean - (months),3.6
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,All principal offences,Median - (months),3
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,All principal offences (%),Under 3 months - (no.),13.3
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,All principal offences (%),3 to under 6 months - (no.),9.5
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,All principal offences (%),6 to under 12 months - (no.),4.4
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,All principal offences (%),1 year & over - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,All principal offences (%),No further penalty due to time spent in custody - (no.),8.2
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,All principal offences (%),Total - (no.),100
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,All principal offences (%),Mean - (months),..
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",South Australia,,All principal offences (%),Median - (months),..
