table,table_title,financial_year,row_group,row_label,column,value
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,01 Homicide,24
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,02 Assault,176
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,03 Sexual offences,287
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,"05 Robbery, blackmail, and extortion",53
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,06 Burglary,47
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,09 Drug offences,212
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Adjudicated outcomes,Total,961
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,01 Homicide,0
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,02 Assault,19
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,03 Sexual offences,39
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,"05 Robbery, blackmail, and extortion",0
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,06 Burglary,0
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,09 Drug offences,10
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Acquitted,Total,68
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty outcome,01 Homicide,24
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty outcome,02 Assault,159
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty outcome,03 Sexual offences,251
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty outcome,"05 Robbery, blackmail, and extortion",54
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty outcome,06 Burglary,47
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty outcome,09 Drug offences,206
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty outcome,Total,892
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty plea by defendant,01 Homicide,18
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty plea by defendant,02 Assault,143
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty plea by defendant,03 Sexual offences,199
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty plea by defendant,"05 Robbery, blackmail, and extortion",50
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty plea by defendant,06 Burglary,46
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty plea by defendant,09 Drug offences,190
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty plea by defendant,Total,796
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty finding by court,01 Homicide,5
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty finding by court,02 Assault,16
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty finding by court,03 Sexual offences,51
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty finding by court,"05 Robbery, blackmail, and extortion",5
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty finding by court,06 Burglary,5
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty finding by court,09 Drug offences,9
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty finding by court,Total,99
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty ex-parte,01 Homicide,..
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty ex-parte,02 Assault,..
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty ex-parte,03 Sexual offences,..
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty ex-parte,"05 Robbery, blackmail, and extortion",..
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty ex-parte,06 Burglary,..
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty ex-parte,09 Drug offences,..
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Guilty ex-parte,Total,..
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Transfer to other court levels,01 Homicide,0
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Transfer to other court levels,02 Assault,0
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Transfer to other court levels,03 Sexual offences,0
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Transfer to other court levels,"05 Robbery, blackmail, and extortion",0
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Transfer to other court levels,06 Burglary,0
Table 42,"Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Higher Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Transfer to other court levels,09 Drug offences,3
